test,n,beta3_or_chi,xi0_value,abs_error,rel_error,agreement_digits
algebraic,-,c**3/27 + 1,3.0,0.0,0.0,80.000
numerical,500,0.993996008000000064775231001024,3.00602813673475395973779431063,0.00602814,0.00200938,2.697
numerical,1000,0.996999001000000001006028122522,3.00300701704579402956664273621,0.00300702,0.00100234,2.999
numerical,1500,0.99799955585185185193999560873,3.00200311615718548038847053608,0.00200312,0.000667705,3.175
