test,n,beta3_or_chi,xi0_value,abs_error,rel_error,agreement_digits
algebraic,-,c**3/27 + 1,3.0,0.0,0.0,80.000
numerical,500,0.994000008000000064774969287151,3.006024104498476587210459931,0.0060241,0.00200803,2.697
numerical,1000,0.997000001000000001006027111443,3.00300601303107719616962092152,0.00300601,0.001002,2.999
numerical,1500,0.998000000296296296384440013869,3.00200267052465213243361825093,0.00200267,0.000667557,3.176
