test,n,beta3_or_chi,xi0_value,abs_error,rel_error,agreement_digits
algebraic,-,c**3/27 + 1,3.0,0.0,0.0,80.000
numerical,500,0.995999992000000064644638402781,3.00401070800572062211028006499,0.00401071,0.0013369,2.874
numerical,1000,0.99799999900000000100501805919,3.00200267182441330235166965491,0.00200267,0.000667557,3.176
numerical,1500,0.998666666370370370458455207757,3.00133452004579054257673402281,0.00133452,0.00044484,3.352
