id,family_class,coeffs,R_struct,lambda_kind,theta_inf,theta_0,theta_star,trace_invariant,painleve_class,all_rational_4tuple
B11,B,"a:1,4,0;b:2,5",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),0,-5/2,1/4 + log(2*sqrt(2) + 3)/(2*pi) + I/2,PIII(D6),False
B12,B,"a:1,4,3;b:2,5",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),3/25,-5/2,log(2*sqrt(2) + 3)/(2*pi) + 37/100 + I/2,PIII(D6),False
B13,B,"a:1,4,4;b:2,5",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),4/25,-5/2,log(2*sqrt(2) + 3)/(2*pi) + 41/100 + I/2,PIII(D6),False
B14,B,"a:4,0,0;b:4,2",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),0,-1/2,1/4 + log(2*sqrt(2) + 3)/(2*pi) + I/2,PIII(D6),False
B15,B,"a:9,0,0;b:6,3",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),0,-1/2,1/4 + log(2*sqrt(2) + 3)/(2*pi) + I/2,PIII(D6),False
B16,B,"a:9,0,0;b:-6,-3",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(3 - 2*sqrt(2)) + I*pi)/(2*pi),0,-1/2,log(3 - 2*sqrt(2))/(2*pi) + 1/4 + I/2,PIII(D6),False
T01,T2A,"a:1,-2,1,-1,2;b:2,-2,-1",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),2,1/2,log(2*sqrt(2) + 3)/(2*pi) + 9/4 + I/2,PIII(D6),False
T02,T2A,"a:1,1,1,0,1;b:-1,2,0",1,quadratic-surd D=5,(log(3/2 - sqrt(5)/2) + I*pi)/(2*pi),1/4,1,log((3 - sqrt(5))**2/4)/(4*pi) + 5/4 + I/2,PIII(D6)-confluent-other,False
T03,T2A,"a:2,2,1,-1,1;b:2,2,0",1/2,quadratic-surd D=12,(log(sqrt(3) + 2) + I*pi)/(2*pi),1/4,-1/2,log(sqrt(3) + 2)/(2*pi) + 3/4 + I/2,PIII(D6)-confluent-other,False
T04,T2A,"a:1,-1,0,2,0;b:2,1,-1",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),0,-1/4,1/4 + log(2*sqrt(2) + 3)/(2*pi) + I/2,PIII(D6),False
T05,T2A,"a:2,0,2,0,0;b:-2,0,-1",1/2,quadratic-surd D=12,(log(2 - sqrt(3)) + I*pi)/(2*pi),0,0,(log(2 - sqrt(3)) + pi + I*pi)/(2*pi),PIII(D6)-confluent-other,False
T06,T2A,"a:1,2,1,1,0;b:-2,2,-1",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(3 - 2*sqrt(2)) + I*pi)/(2*pi),0,1/2,log(3 - 2*sqrt(2))/(2*pi) + 1/4 + I/2,PIII(D6),False
T07,T2A,"a:2,0,-2,-1,-1;b:1,-1,2",2,integer-resonance k=2 (sign-),1/2,-1/4,1/2,9/4,PVI-Schwarz-cand,True
