family	A_13	A_7	A_5	diff_13_vs_7	diff_13_vs_5	agree_13_vs_7_digits	agree_13_vs_5_digits
30	5.9999999999999999999999967349303052154191096202139119474797294318760158405341139	6.0000000000000395379473891310502941510727415381208034476755995002142893778892416	6.0000000124351405174215698432100186373940274120418157269701214619878647184080176	3.95379473924e-14	1.24351405174e-8	13	7
31	5.9999999999999999999999968438495872173982267966881991261905191100560211157553944	5.9999999999999607415601127462380122798848701715577639988893356405625751983997537	5.9999999875635926132376011790674897805798435067868978201994841208728426216053475	3.92584398841e-14	1.24364073868e-8	13	7
32	5.9999999999999999999999881029898714563710189554367770568470940528412742971577757	5.9999999999999413878107731164300937840027173660282699207056470684234830491923653	5.9999999813457059695483559893743357012681043453660898007004757167489000911235817	5.8612189215e-14	1.86542940305e-8	13	7
33	5.999999999999999999999969109581345822306011823012601646997365196025261499088407	5.9999999999999221722004059641502269608508222068021196503269531572074719364742117	5.9999999751278194588018071266086291816282516687807622381331838034540305453622927	7.78277995631e-14	2.48721805412e-8	13	7
