n,a_n_real,a_n_imag
0,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
1,1.07050362412243110502738003051404611567992824714669358261782514702237526739502224514043062931524391135507449018035553173380086884343685257370998153178055037999305762249517497780590110409025372269562907196387882468330372855492937962176419152388338329665119958112037288506112379727420599042278422281436470374328460788154850233746291624258611096408078073011668954431415066380056340030488160135158554951661422408110995469641572946157291388659814642957772,0
2,0.869864004629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629629,0
3,1.24948964394440163053543691114153399035357794913417013751755871984496774792939732184610799816372301510414405736918650390816321007609777918019825443520590174077437688745283013295007254518875965647670753983823633764398616183585833266564806112019491349395206106565176230447849874414184579739790386618582476973511921966709113613804426205323483458460726242053735037782983187744208839582555001435976722741805432377554337376021736378663832441237387693678303,0
4,2.20694572630133539451874714220393232738911751257430269775948788294467306812985825331504343850022862368541380887059899405578417924096936442615454961133973479652491998171010516689529035208047553726566072245084590763603109282121627800640146319158664837677183356195701874714220393232738911751257430269775948788294467306812985825331504343850022862368541380887059899405578417924096936442615454961133973479652491998171010516689529035208047553726566072245084,0
5,4.47122987645686436871662005366932514866274650592904711160102115068853747878904027225789097176952795479748172394366518158017186545187863040340671583925233921244108088161454131003148241079946286521892525119756463549164092844957450405447187256993838808848781703022850212938512420182035259913369328539817848015967590293876585030999587522427490328698151636624921611492782960272348191469543369523720935674415520277581967174761959554864689146891086650211563,0
6,10.7263491240896787308416203079663358679514753283995777518106431381846714875216627998216170750845343133104145144992576786510638057658328958435649488842599648879179438545388857841227906766696585321794893506522831320880398764867595838484422541730878874606964837112680429248025651013000502407604983431839094085702834369196204282319203825071832997454091799465980231107498292378645983279423303809830253969866833759533043178828882227754350906309449214494177,0
7,29.9475867596778458138670757347969210529392840813977752498773071117976263899014303900232256478389751426653757053621694750308606635107375965174355370570200687371940281711328247968182842727826328325925717167778945708523722758612949253416585950240239096076893586543735353222621994681494283912016606280760406243155077387961635587795173316152897875222148927895398172925532302425068157953948961945052876470945512555386429873921329536489358753862200201649978,0
8,95.6518651670660776433604661821625065910899848317466171564745065848669070851777869113754000317137147001609848849711788401125505338390682201189858672062717290691797739616782558520211429941766893563988631926559184712018234460048320853189126431123190876390196728672683670510334241585688124438427858751093127063366469057787567274038961394660333959334224650600316008141147714496402309348619475237481751845528821712443224520764642810175616263215827419567815,0
9,344.769678794210202917718090177411928778274726743129870325996159505781893554512346063566417940363191592515467371683860317353372105107828445452895991653306190996164980878989572711603699861645746017259765552417609256957502373276124576449654932449802713257548564434281998600083806510913882983253590117160458929061657559018783705752704056336308432735150092005903396580837469197940782916802195606026803160721046824960605701532474749803673832350205405512608,0
10,1386.11538389746312420955848102568224795241362800344230766432487383544259630129213552304012550682674523233714722423002898070906154495146093367941670858866340491990910288740685625038326374160989763883187519333928720139576943280993120236392679838488405417347577657534831740969300204067470080600325758836206124397947417405740375334273090155588151196225502280079584585542193788359622918775519504388028427292649066939378157275566929603063969721072360783292,0
11,6154.53347822381662642120904612445769826461412359375137099391915591634410306312862430426722295609405920849725275178433542265244379257984473249612278081446771825434206610293454837976405321063493355610819519988704105394061703080550995327665016790948765000203778631785768238395197265561447259826092531445690501195477183698551151651952545732538777803450085429548944374097885278603830739157750031189519229096862420875610736442858008455835155004436613320970,0
12,29926.3459458756822607449176999189705181933051540916515146437785644552731996927833227836223060131084033018427384211975204815315321476783451271618083856842636353420335501136372540752785368890613420184779822166246277416895218451684689873530503255461119295499802698819504332625016108307853136328408608370835952225203713942377712716175923038250629580243309348666786567060114830870731989609342301732071316795348030338059766036434330586194895857442153776809,0
13,158213.641275959670551635347653138208163654705866751145246885403446128881824367160142905703931463711069650077399776828023675263117028254291238832169503363971494517006430745482299936850829219828490573909661868257422182803165803818395320043574137561830010863068927889834103710453580993989856106617520844631212580882767229612356440874039202377811086143995556162434581372979025449235624369962606674421602977497927230281441987042153564375896055575547623792,0
14,903793.725190400600134171403279658277191079282077082175499511294746396576201091269402510533009237099455028730080711355330684019935112742352467205983460650359618308388963329290616961872230509210617257960930464783327031683891524187331592709648022476861900929430699387007186484601541583372014238533069356177792692932067758808727348607762190802218510684438425283703538258507080845943538500012537872754505198586299307182901753844795864125688610231635687394,0
15,5548678.36650425115435417404289237599225214856257542819599980629153347940125097222095505682468428293078507941715667058130332856784239847297333970342071779891450286542618663750446337616717951310258683601430976923085862553036153967586961068140544615775864341739018190954803268794250701071849561785289113646219167178093040502269702565833756486063700074639443596075479835239968779626631335497991994403069891374808708188038388391489657660424421771793757641,0
16,36438284.7517746295989808624343159544758031508182336162060905345713510791365118559172020309045202181384740373435288474141632230895161003892635143389421234965568902606990400434402397168005469874846425372553251550673531269020406808542641819837154459106282942392442922178152202898367913738825940981613452557378602779693964206692060319775260250232694957852170378074022656060605269942638875901827963065260865156711502594645116267760652392157773966675443944,0
17,254901053.146677104479183000053356637862661234935678768077561499011413794186173851339804040804672576524928767390611005657897902701055101807701538783310268439241025100445036754241998376573623017241317878582777658540303572002334879916654897189161845047107743293042034353966349250837425228068612106073999269301893032630657885793943032577585412038323478891920019875510979603967117480739646705753189849613297060559419225407509048069130131057438212721907170,0
18,1892483090.53399651518185948530471972689132302198288441489459461487267247902397521420599991714212038071895764584335037431619548290737782165855081350152754170498595023783396953655551023142530974343894000868225131357074972893123790382275887949369805007391922047037407729630907807997561675539199604676490103919048873647403595346572688592394723066936803533125773463853680061179093015092962190007176772063518223840092704358413047622433200045241780178346668,0
19,14863211885.0528325470498157000773899574428496383202474332527717756092569892561448237171390187113733455131663023445182259643245804814448680507541602316211773349817160461053875697567587978765200602835853966661773568471820253006615337785850476851179518860294853046229444747040884052179265656337219708615184236367505337057323963345020573572798208765694520466969640277542410612571604324802888801487846165555549253477245507921706408500982241266081279737535,0
20,123121442722.789749272419377654871847301967365096239060990287756552800573962173292798799196861043313198998342602680834214157866816151336363875703782418161802233036130702625236767772016610835738485180695213786101515773034373715890050834440693876639143180042876638536930604341512754136286524081569006812061757951739478619482661628083156272855118128575790445608818489180361904666562293141129310609549818725155487190651045984196295305774421465359525804014,0
21,1072853979477.82986588381156009543648066595559010011169948998128910462925933771930547576421122231489457207857448120342527827433806158426432286986271217369429940132998720756116249462113093713602948037034215231988837001554246410213092190869077732016408320529468527567509326863475244894542309957455657439408523041998465948738966280810522816890610097967323428414599726275695683677791047841509989815994566250178697505912346518818485553980581065551546296063,0
22,9810409352366.36688119151763512140653433362186553604208413659230109484261995391513336318146498582773461239671517988122005485707151178139145178137333241832865715744343944079151270283243233414139355616869424756476817202851498658506887790187489325248010880710131405918924036675106545388097842621966500536722996135201782391001464382123605798913522240265094137462874953153170894856113896352758599065490875378360551258692387261031319982747843872062992441152,0
23,93933564089758.1439839330748007814267457439925691701739668402671033493470969533216034342486350372347534360395363908224931864475514005552126694682059126824868001754315508459675227693565822537204968752356066774729807277683632001325669362619383837299878126069414626369420116314833669114390657952384188481684996042771673860002289304408370889355001287376309560705915280025058835590272195227939121691333138476150376493375987878502083192609053627268455122176,0
24,939877250704201.315478629153889840764867554451393462682896058113536659704833732674871562126734144835703955015479400768152850669047632453906707407935640482475747916233903061045645434132449728870521570719826455992269532745313115056555339722260827781550676799769877870709124857848094291045537695961372137179527728704307767788345261606199376012431524551663201495096282358279647091271298850018851558859167976590935744026820147242587763441880663577348295891,0
25,9809335040571960.46512194686163025420646551884758517758063009388461083679108039499587354450460147402909518932031639838681452909746539539906904208757299353283556491854863061409313456734752099915325495332447493267040051159800416653080332339840721276293468725819629909636984736388186197293351826759467937355935870442628535987557881837782261505067277025797761847459662773535534998282826718509442538454222617733760596275790910852605767930038937042819575707,0
26,106608289013857670.503539343596047464767656697949787760145465871284326327563442926081337277120663305831566794173094492269768568352050352442796293645061534520446586048693974245350919881514387684342771472834881310956262694694061078123109539810966364792351626661371924451629508287087468679417810867390389295529172207409435730052525246414751788220778695403819289095134857951445959825124178415934019941223439037127674022943419949659465708296141143454526895,0
27,1204610051666192217.53233644890600081639770128208048406125637237525804250818837211864077184586694719624117211218252586979062498394837287378560861409391925119658481061571197122889097185827738288308818402792402781915669127960069791278495534452964698105456982788114515492420575848205395073114706667335823468605334763964300323978883470739424185037179170580392276467847929622739303517752462376375021860532180947102276136403801364328271802692096675930681909,0
28,14131143636096911330.6474104972297046111456863505387767665004344844016993870731588300721050439045154116198396873543273727815051639372974880067751583472358375329076120077875038850470911656840389182369755843907990084174663513149714826576604795769646046879855190279895974623573924512873816372577257948037579122162001442903505423962706993259621418044218934962019013645762930574388690864082807975611809005965440268766997265062924795756853913950807396623140,0
29,171869753044257789326.028392595515587608161167313666854410678076121313481605324722247222303895741724887427531965198585765141796139232175118344715509776550121431480489420272824581488694932860998930374691648485553944093034559868665472818612290848134508473620449003174480312037102251619506093671158779287851010865182236780343249206167026124097884807513783434688357452239631917078040728807356900266599208867318315573193929660676052967588028299462193519656,0
30,2164557364644399898655.83804642862014064848708198299670129412368775406918913783473775994339300786421647358134524630931393236059659391386827294169613135594511016015488072677241316527993466645871881638496492613635881697866953971313749278703223131966238018497981733668920688591740649940432743668099234536446295089003914672373342766552355945876970503779293887364429421107161520037239622896518492945384547546228566737695101907267942448565977519669688402135,0
31,28195425472228347319406.9080708964796303794134886328444327191247157404165674586020124174294961900596571573516511243429339040193906896751981492166667438875629441836132889946996814694274037723503884439369935133707642679483452535254940566451379144141112767566752797199351901212412644761057647470822375038187315913646886157556056755911877850609994723673117603494381705556537131880321075542434578774623284359445788358071832010847742064302843544457202654505,0
32,379448852053153866485127.185186017630493332030343182686845391237352344430934584677666330484304088033895807580069821669602082256471211454026490854039855375747231737867000259243560644377545932868873456600562202149196325163172817071966752159721432933862699538303754565288256666540058858753079866256444124088910767072112422345488382346967134925620022627113556853419227866943406288674063056172293871584934640002992366979379758934305444771592211398319051015,0
33,5270449864940182384151377.41413471512871640370940700765165835154102942767725652091821232446702887781217954062341197532861282520657122497413495652356308674749554269510220482687440872821399027575627486538934157815160048415461277411979834246757888495184576646014381215268697599116811427169656232038539512464710134940601934925373671038135256396785976974930634770927945270212750592715303025810110300457085824852192405614591318117758201801511770452161018696,0
34,75482068650766657361475464.7242924883924718052041806566427888370249412044923868116903318009331005127843112993681364568513129840583586279117442046950501247740969798579842051217665582762899051052298883790851704091048768326249042318002386703516054497208010802267856362557331830386547753072624918385907270476082485604583350533812271126848175800438777540981358797075469974474468932568566847100682296596149840234425341362649175761287428142593701308387123864,0
35,1113648157786060760999313255.52148813574034099957514137234248050341080702452315939053391048008426725942368253248136295234806078846511590684911219273983817591232602018004517077301658269088723640017321539049561711434309688676494836307606199160214969807828870005200799044265498291430094043487185018286804203529450007660224192643674659563068934029143985647097864265749027686406019947927778207245154173623948323395799019029191456054128458241773465158013150,0
36,16911778182598862939995186322.2868091510876563795671170972027541256011934191337287513416627403752529267267581099714995078881893215789142372516279081676159882098631508011055694464838401077344138974130141628113917039818233069574517596798928859561655567936701919965453539925081254682148516694714535408396455525430200084253015804205162635391478054601966910853242008088731207096622006145875106274118806128337225152306911354194219622434607512105080328757217,0
37,264129687145717725534652006681.962833912799943972857556650911583736239388421742432447734723129225012140524669372259339592559614077793619419306022230387089720331067039663499981387156850294276886838034118047604921778018224391068054342907857307077632863134642425672893450724627997989986092149473282678628003515852831780159949797514718594234964241417344025403358688651879189347507718625608236546052854508880520435901022929909233457635047392316475877081600,0
38,4239361230913956591918491853745.34796713813603589464533258116475658017666270241009468533637428112135606251814022076461145094547666028343740888574882584199751427020718692151646301739266689045749821875649764253531310162506423361314747184659657127329155638299835205707377805173574705875458024106535788071127037294176210434226588690177551993682583873766794719130865933588797395040195291310849097469367888353721720137395502182715152658605436042512906145544,0
