n,a_n_real,a_n_imag
0,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
1,0.0,0
2,-1.25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
3,-0.294627825494394801833685150877020433035348307370197515245141612081402599679605633093830736318258660986461217964773395213526007511635570252634191978562486631544421388734896998490791656354406829595952389606158327417910473861374346253068441128883518583043656735256350897648816968924950542422499010709997851511124280485793506175129294845490082303072031309949992027049078170903652470210698828042376770593158413937493895626003131363339122982594634963139269,0
4,0.468750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
5,-0.515598694615190903208949014034785757811859537897845651678997821142454549439309857914203788556952656726307131438353441623670513145362247942109835962484351605202737430286069747358885398620211951792916681810777072981343329257405105942869771975546157520326399286698614070885429695618663449239373268742496240144467490850138635806476265979607644030376054792412486047335886799081391822868722949074159348538027224390614317345505479885843465219540611185493722,0
6,-1.45399305555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,0
7,-2.30835640063688784472373857048736991061176910461918142524653361251277483231119591999853992070778549121089034610793441339168813920946618657755806661775519659982348007691850103728276498616957136580757340963753510990371822154782132890238890259460078175554293558203078493470390080563967947299770430266092066697331746541324822918460675202604952875844381673643855360478184013364245573758828769292130014460264739491206154831980131938687571801095350160852419,0
8,-5.94211154513888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,0
9,-18.1647578183809632464024846151760553562631254409416396722411289493879463649606066403747086094464106622528812629269589352638162654479632756844281931591281104599858493559412159682536837519611070785717149629393699453837938335543881469760820093562624511982622220356264967388671974787573416121566473197388577007529154765529225100362917576666311221174967253331705670562213057240146004508230184568297614497046408632598052138979026320846044979904363825664132,0
10,-59.5788864862351190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476191,0
11,-215.109220634990747147621940691721204410704939155271127152175500205949200010135749539116687610463629247361589217418370741044949587457989116441737212690286275472341500828636885572721115724474472379068370970604437951658706620173206000644657888809415592819979421860837190461892701581252458451991146636836016621446001406645888539144109161364262049307697748880385472976863685736267950288377981930357097020457587479110979861841186632678563440546544101867194,0
12,-850.925484802497267232510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176954732510288065843621399176955,0
