idx,label,source,deg_a,deg_b,a_str,b_str,a_top,b_top,R_struct,disc_a,disc_a_neg,disc_a_psq,BT_disc,lam_ratio,int_resonance,stokes_idx,conv_slope,r_final_log10,finite_termination
116,T0,F24_Rat_finite_termination,2,2,"4,-4,0","0,-3,-4",4,0,nan,16,0,1,16,1.0,0,0,0.0,-1000000000.0,1
117,T0,F24_Rat_finite_termination,2,2,"-1,3,-2","-3,1,-1",-1,-3,-0.1111111111111111,1,0,1,5,0.14589803375031543,0,1,0.0,-1000000000.0,1
118,T1,irr_482,0,2,1,"6,-1,1",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
119,T0,F24_Rat_finite_termination,2,2,"0,1,-1","-4,4,-3",0,-4,0.0,1,0,1,16,0.0,0,0,0.0,-1000000000.0,1
120,T0,F24_Rat_finite_termination,2,2,"0,4,-4","-4,2,-2",0,-4,0.0,16,0,1,16,0.0,0,0,0.0,-1000000000.0,1
121,T1,irr_482,0,2,1,"6,-2,5",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
122,T0,F24_Rat_finite_termination,2,2,"-1,3,-2","0,-1,-2",-1,0,nan,1,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
123,T0,F24_Rat_finite_termination,2,2,"-1,4,-3","4,-1,-1",-1,4,-0.0625,4,0,1,12,13.928203230275503,0,1,0.0,-1000000000.0,1
124,T1,irr_482,0,2,1,"6,-4,4",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
125,T1,irr_482,0,2,1,"2,-1,1",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
126,T0,F24_Rat_finite_termination,2,2,"1,-4,4","3,-3,1",1,3,0.1111111111111111,0,0,1,13,10.908326913195987,0,1,0.0,-1000000000.0,1
127,T1,irr_482,0,2,1,"3,-5,4",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
128,T0,F24_Rat_finite_termination,2,2,"2,-4,2","-2,-4,1",2,-2,0.5,0,0,1,12,0.2679491924311227,0,1,0.0,-1000000000.0,1
129,T0,F24_Rat_finite_termination,2,2,"3,1,-4","-2,1,3",3,-2,0.75,49,0,1,16,0.3333333333333333,0,0,0.0,-1000000000.0,1
130,T0,F24_Rat_finite_termination,2,2,"1,2,-3","-2,-1,3",1,-2,0.25,16,0,1,8,0.17157287525380996,0,1,0.0,-1000000000.0,1
131,T1,irr_482,0,2,1,"6,-6,3",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
132,T1,irr_482,0,2,1,"4,0,1",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
133,T0,F24_Rat_finite_termination,2,2,"-1,3,0","-1,2,3",-1,-1,-1.0,9,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
134,T1,irr_482,0,2,1,"5,-4,7",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
135,T1,irr_482,0,2,1,"3,-2,4",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
136,T1,irr_482,0,2,1,"5,4,5",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
137,T1,irr_482,0,2,1,"3,1,3",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
138,T0,F24_Rat_finite_termination,2,2,"-2,0,2","-4,-3,3",-2,-4,-0.125,16,0,1,8,0.17157287525380988,0,1,0.0,-1000000000.0,1
139,T1,F24_Trans,2,2,"-2,1,3","0,-3,-2",-2,0,nan,25,0,1,-8,1.0,0,-1,0.3119451528250969,-1000000000.0,1
140,T0,F24_Rat_finite_termination,2,2,"1,-4,4","-4,1,1",1,-4,0.0625,0,0,1,20,0.05572809000084124,0,1,0.0,-1000000000.0,1
141,T0,F24_Rat_finite_termination,2,2,"1,0,-4","4,3,4",1,4,0.0625,16,0,1,20,17.944271909999152,0,1,0.0,-1000000000.0,1
142,T0,F24_Rat_finite_termination,2,2,"-2,-1,3","1,2,2",-2,1,-2.0,25,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
143,T1,irr_482,0,2,1,"3,-1,5",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
144,T0,F24_Rat_finite_termination,2,2,"-1,2,-1","3,-3,-1",-1,3,-0.1111111111111111,0,0,1,5,6.854101966249686,0,1,0.0,-1000000000.0,1
145,T1,irr_482,0,2,1,"3,-3,4",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
146,T0,F24_Rat_finite_termination,2,2,"2,-3,1","-1,2,-1",2,-1,2.0,1,0,1,9,0.5,0,0,0.0,-1000000000.0,1
147,T0,F24_Rat_finite_termination,2,2,"-1,-1,2","0,-1,2",-1,0,nan,9,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
