idx,label,source,deg_a,deg_b,a_str,b_str,a_top,b_top,R_struct,disc_a,disc_a_neg,disc_a_psq,BT_disc,lam_ratio,int_resonance,stokes_idx,conv_slope,r_final_log10,finite_termination
253,T0,F24_Rat_finite_termination,2,2,"-1,3,0","-3,0,-1",-1,-3,-0.1111111111111111,9,0,1,5,0.14589803375031543,0,1,0.0,-1000000000.0,1
254,T1,irr_482,0,2,1,"4,0,3",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
255,T1,irr_482,0,2,1,"4,0,5",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
256,T0,F24_Rat_finite_termination,2,2,"-2,3,2","2,-2,2",-2,2,-0.5,25,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
257,T0,F24_Rat_finite_termination,2,2,"2,-4,2","4,-3,-3",2,4,0.125,0,0,1,24,9.898979485566361,0,1,0.0,-1000000000.0,1
258,T0,F24_Rat_finite_termination,2,2,"-1,1,0","3,-2,-3",-1,3,-0.1111111111111111,1,0,1,5,6.854101966249686,0,1,0.0,-1000000000.0,1
259,T0,F24_Rat_finite_termination,2,2,"-2,-2,4","1,-2,2",-2,1,-2.0,36,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
260,T0,F24_Rat_finite_termination,2,2,"-2,4,0","0,4,4",-2,0,nan,16,0,1,-8,1.0,0,-1,0.0,-1000000000.0,1
261,T1,irr_482,0,2,1,"2,-2,4",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
262,T0,F24_Rat_finite_termination,2,2,"0,-1,1","-4,-4,-1",0,-4,0.0,1,0,1,16,0.0,0,0,0.0,-1000000000.0,1
263,T1,irr_482,0,2,1,"3,-4,7",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
264,T0,F24_Rat_finite_termination,2,2,"-2,-2,4","-3,-3,-3",-2,-3,-0.2222222222222222,36,0,1,1,0.5,0,0,0.0,-1000000000.0,1
265,T0,F24_Rat_finite_termination,2,2,"0,1,-1","1,-2,-4",0,1,0.0,1,0,1,1,1000000000.0,0,0,0.0,-1000000000.0,1
266,T0,F24_Rat_finite_termination,2,2,"3,1,-4","3,-3,-1",3,3,0.3333333333333333,49,0,1,21,4.79128784747792,0,1,0.0,-1000000000.0,1
267,T1,F24_Trans,2,2,"-2,1,3","0,3,1",-2,0,nan,25,0,1,-8,1.0,0,-1,0.3032884915683071,-1000000000.0,1
268,T1,irr_482,0,2,1,"3,-5,7",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
269,T0,F24_Rat_finite_termination,2,2,"-3,1,2","0,-1,-4",-3,0,nan,25,0,1,-12,1.0,0,-1,0.0,-1000000000.0,1
270,T1,irr_482,0,2,1,"6,-3,5",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
271,T1,F24_Trans,2,2,"1,2,1","0,-2,-3",1,0,nan,0,0,1,4,1.0,0,0,0.7655314076495017,-1000000000.0,1
272,T1,irr_482,0,2,1,"2,1,7",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
273,T1,irr_482,0,2,1,"4,4,4",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
274,T0,F24_Rat_finite_termination,2,2,"-1,4,-4","1,-2,-4",-1,1,-1.0,0,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
275,T0,F24_Rat_finite_termination,2,2,"1,1,-2","0,0,-1",1,0,nan,9,0,1,4,1.0,0,0,0.0,-1000000000.0,1
276,T0,F24_Rat_finite_termination,2,2,"1,2,-3","-1,-1,-4",1,-1,1.0,16,0,1,5,0.38196601125010515,0,1,0.0,-1000000000.0,1
277,T1,F24_Trans,2,2,"-2,-3,2","0,3,3",-2,0,nan,25,0,1,-8,1.0,0,-1,0.29504115115486185,-1000000000.0,1
278,T0,F24_Rat_finite_termination,2,2,"-1,3,-2","-2,-3,2",-1,-2,-0.25,1,0,1,0,1.0,0,0,0.0,-1000000000.0,1
279,T1,irr_482,0,2,1,"4,4,6",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
280,T0,F24_Rat_finite_termination,2,2,"3,1,-4","3,1,2",3,3,0.3333333333333333,49,0,1,21,4.79128784747792,0,1,0.0,-1000000000.0,1
281,T0,F24_Rat_finite_termination,2,2,"0,-1,2","-2,-4,-1",0,-2,0.0,1,0,1,4,0.0,0,0,0.0,-1000000000.0,1
282,T1,irr_482,0,2,1,"2,-4,6",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
283,T0,F24_Rat_finite_termination,2,2,"1,-1,0","-1,1,4",1,-1,1.0,1,0,1,5,0.38196601125010515,0,1,0.0,-1000000000.0,1
284,T1,irr_482,0,2,1,"1,2,6",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
285,T0,F24_Rat_finite_termination,2,2,"1,-1,-2","-2,0,1",1,-2,0.25,9,0,1,8,0.17157287525380996,0,1,0.0,-1000000000.0,1
286,T1,irr_482,0,2,1,"4,4,2",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
287,T1,F24_Trans,2,2,"-2,-3,2","0,-3,-3",-2,0,nan,25,0,1,-8,1.0,0,-1,0.29504115115486185,-1000000000.0,1
288,T1,irr_482,0,2,1,"2,3,2",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
289,T0,F24_Rat_finite_termination,2,2,"-2,4,-2","-1,-4,-4",-2,-1,-2.0,0,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
290,T0,F24_Rat_finite_termination,2,2,"-1,4,0","-3,-3,4",-1,-3,-0.1111111111111111,16,0,1,5,0.14589803375031543,0,1,0.0,-1000000000.0,1
291,T1,irr_482,0,2,1,"1,-3,3",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
292,T0,F24_Rat_finite_termination,2,2,"1,-2,1","4,3,3",1,4,0.0625,0,0,1,20,17.944271909999152,0,1,0.0,-1000000000.0,1
293,T0,F24_Rat_finite_termination,2,2,"0,-3,3","-2,4,4",0,-2,0.0,9,0,1,4,0.0,0,0,0.0,-1000000000.0,1
294,T1,irr_482,0,2,1,"5,-4,2",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
295,T0,F24_Rat_finite_termination,2,2,"0,-1,3","2,0,3",0,2,0.0,1,0,1,4,1000000000.0,0,0,0.0,-1000000000.0,1
296,T0,F24_Rat_finite_termination,2,2,"-2,-2,4","-2,4,-3",-2,-2,-0.5,36,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
297,T0,F24_Rat_finite_termination,2,2,"1,1,-2","-2,1,4",1,-2,0.25,9,0,1,8,0.17157287525380996,0,1,0.0,-1000000000.0,1
298,T0,F24_Rat_finite_termination,2,2,"-1,2,3","-3,-3,2",-1,-3,-0.1111111111111111,16,0,1,5,0.14589803375031543,0,1,0.0,-1000000000.0,1
299,T0,F24_Rat_finite_termination,2,2,"2,1,-3","-4,-4,2",2,-4,0.125,25,0,1,24,0.10102051443364377,0,1,0.0,-1000000000.0,1
300,T1,irr_482,0,2,1,"2,4,3",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
301,T1,irr_482,0,2,1,"2,0,7",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
302,T0,F24_Rat_finite_termination,2,2,"-1,4,-3","4,4,-1",-1,4,-0.0625,4,0,1,12,13.928203230275503,0,1,0.0,-1000000000.0,1
303,T0,F24_Rat_finite_termination,2,2,"-1,3,4","-1,0,-3",-1,-1,-1.0,25,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
304,T0,F24_Rat_finite_termination,2,2,"3,0,-3","3,2,2",3,3,0.3333333333333333,36,0,1,21,4.79128784747792,0,1,0.0,-1000000000.0,1
305,T0,F24_Rat_finite_termination,2,2,"-3,3,0","0,2,-1",-3,0,nan,9,0,1,-12,1.0,0,-1,0.0,-1000000000.0,1
306,T0,F24_Rat_finite_termination,2,2,"-1,-3,4","-2,-3,-4",-1,-2,-0.25,25,0,1,0,1.0,0,0,0.0,-1000000000.0,1
307,T0,F24_Rat_finite_termination,2,2,"1,0,-4","1,1,-4",1,1,1.0,16,0,1,5,2.618033988749895,0,1,0.0,-1000000000.0,1
308,T1,irr_482,0,2,1,"5,-4,4",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
309,T0,F24_Rat_finite_termination,2,2,"2,-2,0","-2,3,2",2,-2,0.5,4,0,1,12,0.2679491924311227,0,1,0.0,-1000000000.0,1
310,T0,F24_Rat_finite_termination,2,2,"0,-4,4","-2,0,-3",0,-2,0.0,16,0,1,4,0.0,0,0,0.0,-1000000000.0,1
311,T0,F24_Rat_finite_termination,2,2,"-3,0,3","3,-1,1",-3,3,-0.3333333333333333,36,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
312,T0,F24_Rat_finite_termination,2,2,"3,-3,0","4,-4,-2",3,4,0.1875,9,0,1,28,7.194335081419453,0,1,0.0,-1000000000.0,1
313,T1,irr_482,0,2,1,"4,-4,6",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
314,T0,F24_Rat_finite_termination,2,2,"1,1,-2","2,-4,-4",1,2,0.25,9,0,1,8,5.828427124746188,0,1,0.0,-1000000000.0,1
315,T1,irr_482,0,2,1,"4,3,5",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
316,T0,F24_Rat_finite_termination,2,2,"-3,-1,4","4,-3,2",-3,4,-0.1875,49,0,1,4,3.0,1,0,0.0,-1000000000.0,1
317,T1,irr_482,0,2,1,"5,6,4",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
318,T1,irr_482,0,2,1,"2,6,6",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
319,T1,irr_482,0,2,1,"3,-2,7",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
320,T1,irr_482,0,2,1,"2,-1,7",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
321,T0,F24_Rat_finite_termination,2,2,"2,-3,1","0,4,-2",2,0,nan,1,0,1,8,1.0,0,1,0.0,-1000000000.0,1
322,T1,irr_482,0,2,1,"2,2,7",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
323,T1,irr_482,0,2,1,"4,5,4",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
324,T1,F24_Trans,2,2,"1,2,1","0,2,3",1,0,nan,0,0,1,4,1.0,0,0,0.7655314076495017,-1000000000.0,1
325,T1,irr_482,0,2,1,"1,0,4",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
326,T1,irr_482,0,2,1,"2,0,2",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
327,T0,F24_Rat_finite_termination,2,2,"3,-1,-2","-1,2,3",3,-1,3.0,25,0,1,13,0.5657414540893351,0,1,0.0,-1000000000.0,1
328,T0,F24_Rat_finite_termination,2,2,"3,-4,1","-2,0,1",3,-2,0.75,4,0,1,16,0.3333333333333333,0,0,0.0,-1000000000.0,1
329,T1,irr_482,0,2,1,"5,-1,5",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
330,T0,F24_Rat_finite_termination,2,2,"-1,1,0","3,-3,4",-1,3,-0.1111111111111111,1,0,1,5,6.854101966249686,0,1,0.0,-1000000000.0,1
331,T0,F24_Rat_finite_termination,2,2,"0,-1,2","3,-3,-1",0,3,0.0,1,0,1,9,1000000000.0,0,0,0.0,-1000000000.0,1
332,T1,irr_482,0,2,1,"3,-2,1",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
333,T0,F24_Rat_finite_termination,2,2,"0,4,-4","2,-3,3",0,2,0.0,16,0,1,4,1000000000.0,0,0,0.0,-1000000000.0,1
334,T0,F24_Rat_finite_termination,2,2,"-1,0,1","1,-2,4",-1,1,-1.0,4,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
335,T1,F24_Trans,2,2,"-2,1,3","0,3,2",-2,0,nan,25,0,1,-8,1.0,0,-1,0.3119451528250969,-1000000000.0,1
336,T0,F24_Rat_finite_termination,2,2,"-1,-1,2","4,0,-2",-1,4,-0.0625,9,0,1,12,13.928203230275503,0,1,0.0,-1000000000.0,1
337,T0,F24_Rat_finite_termination,2,2,"-2,3,-1","-1,2,-4",-2,-1,-2.0,1,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
338,T0,F24_Rat_finite_termination,2,2,"3,-4,1","2,1,4",3,2,0.75,4,0,1,16,3.0,1,0,0.0,-1000000000.0,1
339,T0,F24_Rat_finite_termination,2,2,"-2,1,1","-1,4,-4",-2,-1,-2.0,9,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
340,T0,F24_Rat_finite_termination,2,2,"2,-4,0","-1,-2,2",2,-1,2.0,16,0,1,9,0.5,0,0,0.0,-1000000000.0,1
341,T1,F24_Trans,2,2,"-2,1,3","0,3,0",-2,0,nan,25,0,1,-8,1.0,0,-1,0.29498098325463135,-1000000000.0,1
342,T1,irr_482,0,2,1,"3,6,7",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
343,T0,F24_Rat_finite_termination,2,2,"0,1,-2","-2,2,4",0,-2,0.0,1,0,1,4,0.0,0,0,0.0,-1000000000.0,1
344,T0,F24_Rat_finite_termination,2,2,"2,1,-3","1,-3,-1",2,1,2.0,25,0,1,9,2.0,1,0,0.0,-1000000000.0,1
345,T1,irr_482,0,2,1,"6,-5,2",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
346,T0,F24_Rat_finite_termination,2,2,"1,0,-4","3,3,-1",1,3,0.1111111111111111,16,0,1,13,10.908326913195987,0,1,0.0,-1000000000.0,1
347,T1,irr_482,0,2,1,"1,-6,6",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
348,T0,F24_Rat_finite_termination,2,2,"3,-4,-4","-1,-2,-4",3,-1,3.0,64,0,1,13,0.5657414540893351,0,1,0.0,-1000000000.0,1
349,T0,F24_Rat_finite_termination,2,2,"2,-4,2","-3,1,1",2,-3,0.2222222222222222,0,0,1,17,0.1576707807867546,0,1,0.0,-1000000000.0,1
350,T1,irr_482,0,2,1,"5,-4,3",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
351,T0,F24_Rat_finite_termination,2,2,"-1,0,1","-1,2,1",-1,-1,-1.0,4,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
352,T0,F24_Rat_finite_termination,2,2,"-1,0,4","3,0,3",-1,3,-0.1111111111111111,16,0,1,5,6.854101966249686,0,1,0.0,-1000000000.0,1
353,T0,F24_Rat_finite_termination,2,2,"1,-4,4","-4,-3,-4",1,-4,0.0625,0,0,1,20,0.05572809000084124,0,1,0.0,-1000000000.0,1
354,T0,F24_Rat_finite_termination,2,2,"2,0,-2","0,-1,-2",2,0,nan,16,0,1,8,1.0,0,1,0.0,-1000000000.0,1
355,T0,F24_Rat_finite_termination,2,2,"4,-3,-1","0,-2,-4",4,0,nan,25,0,1,16,1.0,0,0,0.0,-1000000000.0,1
356,T1,irr_482,0,2,1,"5,0,1",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
357,T1,irr_482,0,2,1,"3,-6,7",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
358,T0,F24_Rat_finite_termination,2,2,"3,-4,1","1,-4,2",3,1,3.0,4,0,1,13,1.7675918792439984,0,1,0.0,-1000000000.0,1
359,T1,irr_482,0,2,1,"6,-4,5",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
360,T0,F24_Rat_finite_termination,2,2,"-1,-2,3","-1,-3,1",-1,-1,-1.0,16,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
361,T0,F24_Rat_finite_termination,2,2,"1,3,-4","-2,1,-4",1,-2,0.25,25,0,1,8,0.17157287525380996,0,1,0.0,-1000000000.0,1
362,T0,F24_Rat_finite_termination,2,2,"1,-2,1","1,-1,4",1,1,1.0,0,0,1,5,2.618033988749895,0,1,0.0,-1000000000.0,1
363,T0,F24_Rat_finite_termination,2,2,"0,-2,4","0,0,-2",0,0,nan,4,0,1,0,1.0,0,0,0.0,-1000000000.0,1
364,T0,F24_Rat_finite_termination,2,2,"-2,0,2","-2,-2,3",-2,-2,-0.5,16,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
365,T0,F24_Rat_finite_termination,2,2,"-4,0,4","3,-2,3",-4,3,-0.4444444444444444,64,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
366,T1,irr_482,0,2,1,"5,-5,7",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
367,T1,irr_482,0,2,1,"5,1,4",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
368,T0,F24_Rat_finite_termination,2,2,"0,-1,3","-3,-2,-1",0,-3,0.0,1,0,1,9,0.0,0,0,0.0,-1000000000.0,1
369,T0,F24_Rat_finite_termination,2,2,"-1,3,-2","3,3,4",-1,3,-0.1111111111111111,1,0,1,5,6.854101966249686,0,1,0.0,-1000000000.0,1
370,T1,irr_482,0,2,1,"2,-5,4",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
371,T1,irr_482,0,2,1,"1,5,4",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
372,T1,irr_482,0,2,1,"5,3,6",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
373,T0,F24_Rat_finite_termination,2,2,"-2,3,2","-4,4,-4",-2,-4,-0.125,25,0,1,8,0.17157287525380988,0,1,0.0,-1000000000.0,1
374,T0,F24_Rat_finite_termination,2,2,"-1,3,0","-2,1,-3",-1,-2,-0.25,9,0,1,0,1.0,0,0,0.0,-1000000000.0,1
375,T0,F24_Rat_finite_termination,2,2,"1,-3,-4","3,2,-2",1,3,0.1111111111111111,25,0,1,13,10.908326913195987,0,1,0.0,-1000000000.0,1
376,T0,F24_Rat_finite_termination,2,2,"4,-1,-3","2,2,-3",4,2,1.0,49,0,1,20,2.618033988749895,0,1,0.0,-1000000000.0,1
377,T0,F24_Rat_finite_termination,2,2,"0,-1,3","-1,0,-3",0,-1,0.0,1,0,1,1,0.0,0,0,0.0,-1000000000.0,1
378,T1,irr_482,0,2,1,"4,6,4",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
379,T1,F24_Trans,2,2,"-2,1,3","0,-3,-3",-2,0,nan,25,0,1,-8,1.0,0,-1,0.32104900143850434,-1000000000.0,1
380,T1,irr_482,0,2,1,"4,5,2",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
381,T0,F24_Rat_finite_termination,2,2,"0,-1,2","0,-2,3",0,0,nan,1,0,1,0,1.0,0,0,0.0,-1000000000.0,1
382,T0,F24_Rat_finite_termination,2,2,"1,-1,-2","-1,2,-2",1,-1,1.0,9,0,1,5,0.38196601125010515,0,1,0.0,-1000000000.0,1
383,T1,irr_482,0,2,1,"4,-4,1",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
384,T1,irr_482,0,2,1,"5,3,7",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
385,T0,F24_Rat_finite_termination,2,2,"1,-1,0","2,1,-4",1,2,0.25,1,0,1,8,5.828427124746188,0,1,0.0,-1000000000.0,1
386,T1,irr_482,0,2,1,"1,4,2",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
387,T0,F24_Rat_finite_termination,2,2,"2,-2,0","2,0,-4",2,2,0.5,4,0,1,12,3.7320508075688776,0,1,0.0,-1000000000.0,1
388,T1,irr_482,0,2,1,"5,0,4",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
389,T0,F24_Rat_finite_termination,2,2,"-2,4,-2","-1,3,-2",-2,-1,-2.0,0,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
390,T1,irr_482,0,2,1,"3,3,1",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
391,T1,irr_482,0,2,1,"4,-2,7",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
392,T0,F24_Rat_finite_termination,2,2,"2,-3,1","2,4,-3",2,2,0.5,1,0,1,12,3.7320508075688776,0,1,0.0,-1000000000.0,1
393,T0,F24_Rat_finite_termination,2,2,"-1,1,2","-1,-4,2",-1,-1,-1.0,9,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
394,T1,irr_482,0,2,1,"5,-2,1",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
395,T1,F24_Trans,2,2,"-2,-1,1","0,-3,-3",-2,0,nan,9,0,1,-8,1.0,0,-1,0.3073251122959253,-1000000000.0,1
396,T1,irr_482,0,2,1,"6,-4,2",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
397,T0,F24_Rat_finite_termination,2,2,"1,3,-4","-3,-1,-2",1,-3,0.1111111111111111,25,0,1,13,0.09167308680401604,0,1,0.0,-1000000000.0,1
398,T1,irr_482,0,2,1,"6,-1,3",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
399,T0,F24_Rat_finite_termination,2,2,"2,1,-3","3,-1,4",2,3,0.2222222222222222,25,0,1,17,6.342329219213245,0,1,0.0,-1000000000.0,1
400,T1,irr_482,0,2,1,"3,4,4",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
401,T0,F24_Rat_finite_termination,2,2,"0,1,-2","-1,-2,1",0,-1,0.0,1,0,1,1,0.0,0,0,0.0,-1000000000.0,1
402,T0,F24_Rat_finite_termination,2,2,"-2,1,1","-3,-3,-1",-2,-3,-0.2222222222222222,9,0,1,1,0.5,0,0,0.0,-1000000000.0,1
403,T0,F24_Rat_finite_termination,2,2,"1,-3,-4","-4,-4,3",1,-4,0.0625,25,0,1,20,0.05572809000084124,0,1,0.0,-1000000000.0,1
404,T0,F24_Rat_finite_termination,2,2,"1,3,-4","-4,1,1",1,-4,0.0625,25,0,1,20,0.05572809000084124,0,1,0.0,-1000000000.0,1
405,T0,F24_Rat_finite_termination,2,2,"-2,3,-1","-4,1,3",-2,-4,-0.125,1,0,1,8,0.17157287525380988,0,1,0.0,-1000000000.0,1
406,T0,F24_Rat_finite_termination,2,2,"1,3,-4","4,-1,-1",1,4,0.0625,25,0,1,20,17.944271909999152,0,1,0.0,-1000000000.0,1
407,T1,irr_482,0,2,1,"5,0,2",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
408,T1,F24_Trans,2,2,"-2,1,3","0,3,4",-2,0,nan,25,0,1,-8,1.0,0,-1,0.3304176147388956,-1000000000.0,1
409,T0,F24_Rat_finite_termination,2,2,"-1,-3,4","-3,3,-1",-1,-3,-0.1111111111111111,25,0,1,5,0.14589803375031543,0,1,0.0,-1000000000.0,1
410,T0,F24_Rat_finite_termination,2,2,"-4,4,0","-2,2,2",-4,-2,-1.0,16,0,1,-12,1.0,0,-1,0.0,-1000000000.0,1
411,T0,F24_Rat_finite_termination,2,2,"-1,3,0","-3,2,-1",-1,-3,-0.1111111111111111,9,0,1,5,0.14589803375031543,0,1,0.0,-1000000000.0,1
412,T0,F24_Rat_finite_termination,2,2,"1,-1,0","-2,4,1",1,-2,0.25,1,0,1,8,0.17157287525380996,0,1,0.0,-1000000000.0,1
413,T1,irr_482,0,2,1,"2,1,4",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
414,T0,F24_Rat_finite_termination,2,2,"1,-4,3","-4,-3,2",1,-4,0.0625,4,0,1,20,0.05572809000084124,0,1,0.0,-1000000000.0,1
415,T0,F24_Rat_finite_termination,2,2,"4,-3,-1","0,4,-1",4,0,nan,25,0,1,16,1.0,0,0,0.0,-1000000000.0,1
416,T0,F24_Rat_finite_termination,2,2,"-1,-1,2","-4,3,-1",-1,-4,-0.0625,9,0,1,12,0.07179676972449085,0,1,0.0,-1000000000.0,1
417,T1,irr_482,0,2,1,"6,-6,4",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
418,T0,F24_Rat_finite_termination,2,2,"1,1,-2","4,4,3",1,4,0.0625,9,0,1,20,17.944271909999152,0,1,0.0,-1000000000.0,1
419,T1,irr_482,0,2,1,"2,3,5",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
420,T0,F24_Rat_finite_termination,2,2,"0,-1,4","-2,-3,-4",0,-2,0.0,1,0,1,4,0.0,0,0,0.0,-1000000000.0,1
421,T1,irr_482,0,2,1,"2,5,1",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
422,T0,F24_Rat_finite_termination,2,2,"4,-4,0","4,2,-2",4,4,0.25,16,0,1,32,5.828427124746188,0,1,0.0,-1000000000.0,1
423,T0,F24_Rat_finite_termination,2,2,"0,-1,1","2,-3,2",0,2,0.0,1,0,1,4,1000000000.0,0,0,0.0,-1000000000.0,1
424,T0,F24_Rat_finite_termination,2,2,"0,3,-3","2,-3,-4",0,2,0.0,9,0,1,4,1000000000.0,0,0,0.0,-1000000000.0,1
425,T0,F24_Rat_finite_termination,2,2,"-2,1,1","-1,-3,2",-2,-1,-2.0,9,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
426,T1,irr_482,0,2,1,"2,-2,2",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
427,T0,F24_Rat_finite_termination,2,2,"2,-2,-4","-4,2,1",2,-4,0.125,36,0,1,24,0.10102051443364377,0,1,0.0,-1000000000.0,1
428,T0,F24_Rat_finite_termination,2,2,"4,-2,-2","-3,0,3",4,-3,0.4444444444444444,36,0,1,25,0.25,0,0,0.0,-1000000000.0,1
429,T1,irr_482,0,2,1,"6,-2,2",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
430,T0,F24_Rat_finite_termination,2,2,"3,-1,-2","4,-1,-3",3,4,0.1875,25,0,1,28,7.194335081419453,0,1,0.0,-1000000000.0,1
431,T0,F24_Rat_finite_termination,2,2,"4,-2,-2","-1,1,-1",4,-1,4.0,36,0,1,17,0.6096117967977924,0,1,0.0,-1000000000.0,1
432,T0,F24_Rat_finite_termination,2,2,"-3,4,4","-1,-2,4",-3,-1,-3.0,64,0,1,-11,1.0,0,-1,0.0,-1000000000.0,1
433,T0,F24_Rat_finite_termination,2,2,"0,-1,2","1,0,-4",0,1,0.0,1,0,1,1,1000000000.0,0,0,0.0,-1000000000.0,1
434,T1,irr_482,0,2,1,"5,-1,2",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
435,T1,irr_482,0,2,1,"4,3,2",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
