family_id_str,family_id,degree,A_fit,A_stderr,delta,j_invariant,log_abs_j,sgn_j,is_j_zero,is_j_1728,CM_disc,log_abs_Delta,log_Mahler,bin
d3_1,1,3,5.9677983721296615,0.0019227305442087,-0.032201627870338534,-1728.0,7.455298485683291,-1,False,False,-6.0,6.761572768804055,1.3740631224599753,-_S3_CM
d3_2,2,3,5.972564099351623,0.0027029955685218,-0.027435900648376865,-3252.705882352941,8.087549897201235,-1,False,False,-51.0,6.129050210060545,1.3611231769786103,-_S3_CM
d3_3,3,3,5.969660394186659,0.0018412895679668,-0.030339605813341386,-13824.0,9.534233826390537,-1,False,False,-3.0,4.68213122712422,1.347377348329384,-_S3_CM
d3_4,4,3,5.9719021753974575,0.001773194858203,-0.02809782460254251,2404.1739130434785,7.785377493041186,1,False,False,69.0,6.431331081933479,1.435435020577539,+_S3_real
d3_5,5,3,5.9715309631845725,0.001645224347499,-0.02846903681542745,1974.857142857143,7.588757579569394,1,False,False,21.0,6.628041376179533,1.5139412146059232,+_S3_real
d3_6,6,3,5.953632089052144,0.0098411275371792,-0.04636791094785586,-1049.8177399756987,6.957323940021087,-1,False,False,-823.0,6.71295620067707,1.3210480002714795,-_S3_CM
d3_7,7,3,5.968840417852577,0.0028905985769363,-0.031159582147423315,-1830.5084745762715,7.512895209331435,-1,False,False,-118.0,6.156978985585555,1.3053812582475288,-_S3_CM
d3_8,8,3,5.969506567224815,0.0028136167571189,-0.030493432775185347,-4937.142857142857,8.504744599649243,-1,False,False,-7.0,5.1647859739235145,1.288506512723928,-_S3_CM
d3_9,9,3,5.977368910595748,0.0017363297576691,-0.022631089404251625,3361.8677042801555,8.120549372364094,1,False,False,257.0,5.54907608489522,1.250149159860756,+_S3_real
d3_10,10,3,5.977005759032962,0.0013629677015224,-0.02299424096703806,1826.6384778012684,7.510779963199853,1,False,False,473.0,6.159095388491933,1.3238075379301228,+_S3_real
d3_11,11,3,5.97826467903771,0.0014409809783207,-0.02173532096229014,-617.8324022346369,6.42783448034456,-1,False,False,-179.0,6.573680166960646,1.259909444301458,-_S3_CM
d3_12,12,3,5.968995479504335,0.0050227532771096,-0.0310045204956646,-1055.7708830548927,6.962973200836589,-1,False,False,-419.0,6.037870919922137,1.2403081114974508,-_S3_CM
d3_13,13,3,5.977842596253211,0.0014186759459644,-0.022157403746788873,-2513.454545454545,7.829811178476883,-1,False,False,-11.0,5.170483995038151,1.2187557268720124,-_S3_CM
d3_14,14,3,5.981250394426737,0.0011967626994808,-0.018749605573263217,2988.972972972973,8.003019627204404,1,False,False,37.0,4.997212273764115,1.1676157469275876,+_S3_real
d3_15,15,3,5.98175582414045,0.0011501844999873,-0.018244175859550182,1931.7379912663755,7.566692924892639,1,False,False,229.0,5.43372200355424,1.136199470089999,+_S3_real
d3_16,16,3,5.978829288502028,0.0024159378599424,-0.021170711497972228,-329.1428571428572,5.799525461219067,-1,False,False,-7.0,6.340359303727752,1.1875442270826329,-_S3_CM
d3_17,17,3,5.988410691676072,0.0024816731024674,-0.011589308323928016,-576.0,6.3578422665081,-1,False,False,-1.0,5.780743515792329,1.1618447527360989,-_S3_CM
