
[INIT] script_sha256 = 99d2ce7ab28e16b70f298102e4f3be3bdd598e96b9b4c10c94b6ccfa28c18596
[ENUM] b1 in [5, 8, 9, 10]  a2 in -30..30 (excl 0)  free in -5..5  total=319440
[STAGE A] 044R strict cache-load mode (recompute disabled)
[STAGE A] cache load OK: 241892/319440 convergent (cached t_a=423.6s, load took 859ms); per-b1 integrity PASS against stage_a_summary.json
[STAGE B/C] PSLQ dps=150 N=600  h_max=1e+07  wall_budget=9000s  workers...
[STAGE B/C] dispatched 241892 tasks to 7 workers
  [BC] 143073/241892 (59.1%)  elapsed_bc=3201s  rate=44.7/s  eta_bc=2211s  wall_total=3203s/9000s
  [BC] 145769/241892 (60.3%)  elapsed_bc=3261s  rate=44.7/s  eta_bc=2151s  wall_total=3263s/9000s
  [BC] 148293/241892 (61.3%)  elapsed_bc=3321s  rate=44.6/s  eta_bc=2096s  wall_total=3323s/9000s
  [BC] 150500/241892 (62.2%)  elapsed_bc=3381s  rate=44.5/s  eta_bc=2053s  wall_total=3383s/9000s
  [BC] 152899/241892 (63.2%)  elapsed_bc=3441s  rate=44.4/s  eta_bc=2003s  wall_total=3443s/9000s
  [BC] 155839/241892 (64.4%)  elapsed_bc=3501s  rate=44.5/s  eta_bc=1933s  wall_total=3503s/9000s
  [BC] 159051/241892 (65.8%)  elapsed_bc=3561s  rate=44.7/s  eta_bc=1855s  wall_total=3563s/9000s
  [BC] 162293/241892 (67.1%)  elapsed_bc=3622s  rate=44.8/s  eta_bc=1776s  wall_total=3623s/9000s
  [BC] 165492/241892 (68.4%)  elapsed_bc=3682s  rate=45.0/s  eta_bc=1700s  wall_total=3683s/9000s
  [BC] 168788/241892 (69.8%)  elapsed_bc=3742s  rate=45.1/s  eta_bc=1621s  wall_total=3743s/9000s
  [BC] 171894/241892 (71.1%)  elapsed_bc=3802s  rate=45.2/s  eta_bc=1548s  wall_total=3803s/9000s
  [BC] 175125/241892 (72.4%)  elapsed_bc=3862s  rate=45.4/s  eta_bc=1472s  wall_total=3863s/9000s
  [BC] 178430/241892 (73.8%)  elapsed_bc=3922s  rate=45.5/s  eta_bc=1395s  wall_total=3923s/9000s
  [BC] 180902/241892 (74.8%)  elapsed_bc=3982s  rate=45.4/s  eta_bc=1342s  wall_total=3983s/9000s
  [BC] 184057/241892 (76.1%)  elapsed_bc=4042s  rate=45.5/s  eta_bc=1270s  wall_total=4043s/9000s
  [BC] 187105/241892 (77.4%)  elapsed_bc=4102s  rate=45.6/s  eta_bc=1201s  wall_total=4103s/9000s
  [BC] 190337/241892 (78.7%)  elapsed_bc=4162s  rate=45.7/s  eta_bc=1127s  wall_total=4163s/9000s
