n,a_n_real
11,2997.3005020664750410532359950601285964489484204547333452469444248153987680038628913514280124864273050918688448094687187563122054255997954874939323321853369108240920540090273923542539232068485977547741897113568163692721335364003131554857836587330726320492618625949977226096634874296948458124668235421753045854280538708944627533996694090355196942625714
12,12046.446591224754481788919816224006878838351622632399609938672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672438672
13,52545.449881412313348538752797933743554341381667028561165678251383994400023101471431851818434940039348150362104255676796549151764789606973479739672481985968015028196965803094849740032863873414935316014570886218170803081147807743650111659654347727451476609257238735433488001278607862505796927596685332958513645245942261256629237642588238963268564685153
14,247300.10733176147292491936858714864536942643128505191270210550780444753659039373325087610801896516182230467944753659039373325087610801896516182230467944753659039373325087610801896516182230467944753659039373325087610801896516182230467944753659039373325087610801896516182230467944753659039373325087610801896516182230467944753659039373325087610801896516
15,1249413.8626904178352309309101472440478794438976375779508412758437113552710804378801923861861143082163469944692746077528388569173056276059658002037967579993192239909928006850734021630099570036324870420518529715193978755886069057913870727243630159445525248688626334724781850852069469661461148387645819121644653798137831604269843961740726637818052994007
16,6745675.5424026367856772142051187550010007689796871942134664384938102239334713525561739847454133168418882704596990311276025561739847454133168418882704596990311276025561739847454133168418882704596990311276025561739847454133168418882704596990311276025561739847454133168418882704596990311276025561739847454133168418882704596990311276025561739847454133169
17,38765828.801106665907383217697251503207635082003571769409785467879255187656973484758240688773274941217406421224608483252107304292710130728701207248665930989556768854397542173567472596651414772433431502461301057111104794954377260490224350540640500056579404743208821277574604023963632755498755046518448021603569009259807684776030353905290897864708381633
18,236283604.56791970689511775558996790318051026200817314923557248357155486202747310282899591865365674889484413293937103460912984722508532032341556151079960603770127579651389175198699008222817746627270436794246318055841865365674889484413293937103460912984722508532032341556151079960603770127579651389175198699008222817746627270436794246318055841865365675
19,1522637025.7875493169076153420718654644766106661793296623188867875667444062474907302058600291753688505853936538846093218374028911687299855353564724709791115293492231099394561939751219253079582732335036386923624966539418237174147330190067262492128841979692300482215715406518631364844262263397717973265300734719433720786634701147950942841517792154141031
20,10344102623.272939229385961316801463502092214652667540679451900731097569689897901316818307810621765333481434395484225942725131874475822581380594059349772161212526832459015858691518429097671320876392378677503253649501622374982245246140277837167119195720109769940228439417588761536867094879773635486446926812546744730144405804143383385606590678092963218
21,73891953297.213771888960712800379137122624577462691988625973585006564230224430368737785123978517250475487273914144863797737942822707233629240313918439913409705199170648835154147879432976780046880063657441136272568470869535236442880248887748659009219248651414862719539497761522775293615219667541283093855601717000287390377902910365185575141349271389825
22,553715529374.57715607277298898576376182751483219108330236120494397904059832397497390248181994167721803219565393317594556941970548561510305059399338259207565781870144763627515579971203368887801512526043486753129461887606293694087663350009436769499646325017621861718351989101437206037897989319706331870049031554782180391275704041958869248636830310648164
23,4343388601366.5115333731063598513119861167132999817731715141136335769169012723552476171852239994772922006139438148945893210255769198108180091343431649261197683886364542270958369860017399941211565900953072424750085068088739014618569169864321145681060183765808002668484641105292815018627958817386927778500997395600358024387707268115503871343364329532459
24,35593364363145.989781953879281405805906197238506044805012380206748526095115717621964440229514951285984319500061667760127392521296229024379573136625364631191467854987017592771356727532083049784201391089205503508774224175008994865791339321462833318168337551584921679204451601948149974475129042884999022394692125034855012221452868858076000221395929086120
25,304174679408362.37203547236281389601412401964477596258179647056666145809514321252829981833119227299893292137338858433721438614813811744104452807157209639174492093127092389771411739976746173409238078478304051379055807256592087594249003689664895842083009238049930772614475881737309983084686621787257725529502881626962856160513436883064458637158487592247
26,2706246834543618.4552385254593862748490272400915423164932208592105202387612368479973622295344623274327704258602284202548476457518153776444707233498722634422681031713660783595393594999844822428318069137325901816595119087740850404726023623468184816751703460620437021981621514798630038318591085235500438652637747378618555464579915550235028140606848062371
27,25028411346474034.991346439781407861167822616517878557992404476109395563726081920570021935284124835238832265756810190655235195999931925024806556718954392760796656468789019274629362526714572621325468637072808638874283842554674509497394782845076052553254749416265211575799137312784984672833128322606499972572188825996363532090620147050856338962294612682
28,240270566798590617.51675958633415891361516781840637684420341232438890644311442807693259182175947255686585654143809038204174557706670441623883577009501733397739628189933753121997987032561085754028150249111900822511155472030480388097349796676707534454983131709698081825195411364015420781607388288545192537226004390485058765416257843017335871000947330834
29,2391072591097454462.8371530251250893407017821928223132944910139500403438434497856792028493350214341280618226364485462846222367690353070652586568615816033607171095976653645751248683617211541756002581793108758946627812073830419198239627106310620070093054612016243137785555922456368424193251982382581937972462502669557938362143275251866669455516266575536
30,24636133763769611628.061524364783765471784426848017235783121040227871327444954133622740433227943310399415986762036617379408572827015779965335695875571628745464467028084887126147122518114601208300771203023466351178559618787192178959994650618634448640528152422773443187919941769815655994129501103413210577229726748512877249543448886662537532494829386508
31,262505278008256477625.23869334135906922128641974454351665994175699363069169964156693889163612626125242664311430478645993827256135508148997569136731509196477216336489792968219182015154296002316562282301958686605155607557289238312574115745019552367673186087199469480635255147576100562201074057458772848021221456986202148803448222538862679975911605571124
32,2889477678609712812843.3146547860557031248334268289968487914334534603345831881988954699511911841212865790475126750243669623798674556183044553298372791304941977216057793957362320931965989508028615518017383829957538093795403434683237551240632651889611437377878405845617710202932716507664720162421010658159583026189457649400939389906609759871396689350377
33,32822803777873760048062.544756960900896089857407126814537307177834139203504509646261817605003945629361163265648866642902561148829301772591565871957871548308574769833717718513627610852578145221702080097884752727750279207286194255075038470905119842153001888203499705595870100514811214724482167198158621275144372292417670146715118290188476583677614070329
34,384408283712304092935499.46015695592436537830807059496972350710048127497268914732226057953990772378270135297719359666803277082903757672310348480447578733865483283565904254963001014798662278477130633874631873103465991281819755460193876905066006742505128345836824153330657804976916331924738294275000881917586341651003159464539997308689299293588702019518
35,4637462564690286449735022.7005120887703680827197364872393885594438739481811926128855948618693431007463582628899109405777169893406297582289872394331592756088581890410680487183563117667617219080068774812829068278093429020188863189903547946635227824132918599084264322680986085603747125337815964385817323304648160370202557697567619850307046899945821823149
