rep_id,side,A_pred,Delta_b,a1_richardson,a1_at_n1500,a1_at_n1900,agree_a1_n_digits
V_quad,neg,3,-11,-23345622348505.7500913202456388,-1.47150087328509154312033446586,-1.47165254817272203470765547245,3.98685
QL15,neg,3,-20,35046146737934.8107187848707573,-2.47077927338453711466937905976,-2.47108276077957017408966201571,3.91069
QL05,pos,4,8,-50876954304073.8549427623718638,7.76465468008989780700682542674,7.76157498412698605249780099012,3.40161
QL09,pos,4,1,7895221656112.18701976583714971,-0.00667703695566696269400117142659,-0.00526962139039800554665531774261,2.85158
