k,a_k
0,1.0
1,1.0705036241224311050273800305140461156799282471466935826178251470223752673950222
2,0.86986400462962962962962962962962962962962962962962962962962962962962962962962963
3,1.2494896439444016305354369111415339903535779491341701375175587198449677479293973
4,2.2069457263013353945187471422039323273891175125743026977594878829446730681298583
5,4.4712298764568643687166200536693251486627465059290471116010211506885374787890403
6,10.726349124089678730841620307966335867951475328399577751810643138184671487521663
7,29.94758675967784581386707573479692105293928408139777524987730711179762638990143
8,95.651865167066077643360466182162506591089984831746617156474506584866907085177787
9,344.76967879421020291771809017741192877827472674312987032599615950578189355451235
10,1386.1153838974631242095584810256822479524136280034423076643248738354425963012921
11,6154.5334782238166264212090461244576982646141235937513709939191559163441030631286
12,29926.345945875682260744917699918970518193305154091651514643778564455273199692783
13,158213.64127595967055163534765313820816365470586675114524688540344612888182436716
14,903793.72519040060013417140327965827719107928207708217549951129474639657620109127
15,5548678.3665042511543541740428923759922521485625754281959998062915334794012509722
16,36438284.751774629598980862434315954475803150818233616206090534571351079136511856
17,254901053.14667710447918300005335663786266123493567876807756149901141379418617385
18,1892483090.5339965151818594853047197268913230219828844148945946148726724790239752
19,14863211885.052832547049815700077389957442849638320247433252771775609256989256145
20,123121442722.78974927241937765487184730196736509623906099028775655280057396217329
21,1072853979477.8298658838115600954364806659555901001116994899812891046292593377193
22,9810409352366.3668811915176351214065343336218655360420841365923010948426199539151
23,93933564089758.143983933074800781426745743992569170173966840267103349347096953322
24,939877250704201.31547862915388984076486755445139346268289605811353665970483373267
25,9809335040571960.465121946861630254206465518847585177580630093884610836791080395
26,106608289013857670.50353934359604746476765669794978776014546587128432632756344293
27,1204610051666192217.5323364489060008163977012820804840612563723752580425081883721
28,14131143636096911330.647410497229704611145686350538776766500434484401699387073159
29,171869753044257789326.02839259551558760816116731366685441067807612131348160532472
30,2164557364644399898655.8380464286201406484870819829967012941236877540691891378347
31,28195425472228347319406.908070896479630379413488632844432719124715740416567458602
32,379448852053153866485127.18518601763049333203034318268684539123735234443093458468
33,5270449864940182384151377.4141347151287164037094070076516583515410294276772565209
34,75482068650766657361475464.724292488392471805204180656642788837024941204492386812
35,1113648157786060760999313255.5214881357403409995751413723424805034108070245231594
36,16911778182598862939995186322.286809151087656379567117097202754125601193419133729
37,264129687145717725534652006681.96283391279994397285755665091158373623938842174243
38,4239361230913956591918491853745.3479671381360358946453325811647565801766627024101
39,69875506693114087090025538589229.658929427537945425877376664914405049962241580628
40,1181933582961830616032859668553309.1838141203917769587043108718247899985060949061
41,20503210950080634804677677550751798.789308858655036863559014031528906536980536221
42,364537642112922753773199092658421083.2046273746796325775716125905946391713841412
43,6638934932980500440324066228629138818.1833081582209399443252674054510652777408493
44,123778657933707062887030852259792220135.19368771815239623935047791299455297335598
45,2361301180890385332872045497657047786908.6922322566730351406616751498343543989252
46,46067281457927109279615156023434864448708.732309053283453047049768488525682719493
47,918663399706074788118962288666947268768413.79856117678414430350928999578274519754
48,18717119560455269876175819159551221541671872.136395807391761118177771940980766321
49,389444032050751772388470346286610771930035917.23826163087471984163279667544439087
50,8271555738572528098287213023776370742297307950.8804402358665865010137359858090399
51,179260932563768763497150604897556972020591251520.49742681114492188209095619262796
52,3962485433332071015647961421087919138767993036658.5887321481294022912057185231528
53,89303242106493232217094034869075442362907051569912.411709677218404433340178820934
54,2051278030253997256793372200167319204174645292678272.9025714104626020422783867948
55,48004921449819360734605139527821185809629000586298506.501138501386119606423661376
56,1144202055737354058210633864165389419137899292157298388.4586518835337333632055454
57,27767227469439218026827203417835998884763443522097063529.570982349787841110816667
58,685862865218653301762031266301666198629380271213410514976.47947729143991683852499
59,17237884022165249434101229187745507960451694898920208689426.082173312634757583282
60,440700922631904272673591548596634827665922336427849517087209.8147175922696201393
61,11457584136686776525204161051137821263602910980615986015786537.296234496389740896
62,302838496276507778246690233473540301495072321956485551740645762.96803442428337668
63,8135453563796086726801489620995064673036765521591463180630744615.7154390334984237
64,222071365395342499764956957584775191415951163508839024819135761045.97855932943914
65,6157925487108321327049837065956606019829937930939958646517291336785.2634555908138
66,173421009844206693011834602764916546011247790854866568344737640581218.8779138751
67,4958975494959240650785747870633731170185502281274428602124113792378427.9487774546
68,143948057864427372699170147397444078952359032259685922024348639120604667.23046598
69,4240790463339704584459917306788536373998792087000003788382705521453121426.500916
70,126771416928250070691500654305954270483994213216611847267103905669514155148.6372
71,3844487503678058255960948324027314261260371600306823988659093711661971001952.4432
72,118252346803624896214996010625925276578260033093969745802569430152903969274853.77
73,3688496538218032124272076575069607263893619673423362720886200084452140992366636.7
74,1.166470455995373498369200453463988120719115456369588612860250654723089347264283e+80
75,3.7393970431811072288523454839504307673264857739041451625366786714902892545689921e+81
76,1.2149370833986846762743583319902263704033199637943240858352718839999865299114048e+83
77,3.9999388792009160734736653548086484171283646353464832861989282691004589448038519e+84
78,1.3342133365099039778527105127630279078186758134464376654784048449735285926928503e+86
79,4.5081305280546659096767680070704591297502504040205863686584490750820552440960897e+87
80,1.5427507044653800346556990209466776157597959939060595490370203457236764772496214e+89
81,5.346304163639395421242646728910973346455244677989133844136709915045673589096991e+90
82,1.8758689897484707287559307878429499086431035008419392347801073171493170041493257e+92
83,6.663098397978971819799709873195918055910651143498089313354227742462006907050063e+93
84,2.395578350890146308669304448281477327503264475828782306024795337678228895704395e+95
85,8.7164983340607459599394956102416019848121455187361961265658293212711964934290014e+96
86,3.2092963122740426666166707166578267237944849774786281283741128632916308895864067e+98
87,1.1955112992910545540278246640141408678356224679106905285960116844260054590642232e+100
88,4.5052100981259047029690506886160153077247431238382918104639118861314332688013091e+101
89,1.717262310293767274585687982082089099433744159237985722972276508270810863976451e+103
90,6.6200683806729895561591891281068833789023207912709843657250475042715617165562725e+104
91,2.5807018355277069643215002543303010786620066142303383165257338343877436145532557e+106
92,1.0172066296983303397258488245540385084828856144662487458784968438608868564867151e+108
93,4.053443978467654773435647088601506092611236834844578626966399842526750691572284e+109
94,1.6327947138239486035918194626911795497492789112592797707785430671804591962302192e+111
95,6.6478510974749553015347352114460311452646776223409279979680488975553144049448976e+112
96,2.7354211265490141104926600941021255902130471584344803829407733956669343320908804e+114
97,1.1373975305469731957143582419044217300372936758878051628412302800782010976027232e+116
98,4.7785758610222247353912241964601468902623636406170805347110435504593484592380471e+117
99,2.0283211594677080802991351119204663343098933876065819381197353280408354396269233e+119
100,8.6972476582335632074496566100424502736748949779237331147683151731976517559584864e+120
101,3.7669476559730437160556141669540352673038371458409750415114780695327669769955873e+122
102,1.6478459129999009981254440030269390342212695105372074241712097667426690080185156e+124
103,7.2798153554198479521883821989137820626262861190714342513841248165178390999490214e+125
104,3.2475750354579484934723867935835022430027659949500853543933828366747772918751646e+127
105,1.4628244428771049282072048071299015982789072587864099467546548958535870509878164e+129
106,6.6524145814895700168645541888541934945037557579369623664359518513803456109856448e+130
107,3.0540851997909379499052191269714973571768063147304797102613245831787052778148186e+132
108,1.4153346212561793248072810917980751458659287211801518972455965484341808849680677e+134
109,6.620264891703700030170112732241730160502424502438476628644638232853767546833667e+135
110,3.1253068940922069640711180407351082660997321713086732107186730578783702811858267e+137
111,1.4889308546070906465403251016515131699053687542842203717497744649915199819533178e+139
112,7.1578912605890030024821217775800435129207277799061333706700658672208791150131093e+140
113,3.4720755195546916464161499395845086744167404586490475041698181068581550393740782e+142
114,1.6992299188268808570617868758523748054571871816627627525488816563664677662597842e+144
115,8.3895771722578801351787370815033623709511215032671087089090926238135169107867109e+145
116,4.1784918859425576950215344887864064120444422666332120309543829316074922067495193e+147
117,2.0992193086793103357124409439894892943551759701426731477001629782342195656271948e+149
118,1.063708378367291257574655739063687470593119467105507427912704122226132476418134e+151
119,5.4360341123567180654206309338424732995360682964741004110182997255191797553657629e+152
120,2.8015955188782019227285067488300583290917715938887065441388200506295251935438412e+154
121,1.4560011726520486990162002798521523500550203182327223748961929595224116441857736e+156
122,7.6299363658785165987771602121240259537644858668579131061361079453156696716253009e+157
123,4.0313766279924472103445574816261287680160981836444475915564323334306389268880788e+159
124,2.1474840520475020466183105001140986051967949872358828017600705333848946568570821e+161
125,1.1532460024756905992877774032190073411825286996128379973490386996046728324289435e+163
126,6.2431128700626598857148317278835992352740242954663703668493759969869631893847948e+164
127,3.4067468594436240656108669353723012190382263690733396343274485295605865604550979e+166
128,1.8737457455280715119551562726986653278016778262612298583729729976717804889622055e+168
129,1.0386917227871393346699178891509185291930271854943962795642792342649709562420066e+170
130,5.8028509183338887856921747527092595102867508973126140586161820895303560911895652e+171
131,3.2669975706189573083561251808466788169378140160823911474870277554276960672117621e+173
132,1.8534598794332318501811059157623106128458447909609066479542037117051057879111168e+175
133,1.0595446462829374701913956093292145847370156270198098301023055476940649247202984e+177
134,6.1028419424982893354685627595252613412597866003025561472196236523961259230578095e+178
135,3.5415815008397020619009536618336203062511193954891908322552143674564565009644583e+180
136,2.0705725326550596020004436396356638663889618042997210950370217531294751711078249e+182
137,1.2195172158354155711357501495971667778845575845623059199341690828729032456517565e+184
138,7.2354615388544134979133721006361497178044559456886683325737756366006245434531714e+185
139,4.3241648119452969488280087051518947348424482801387236770574401217159388930529176e+187
140,2.6029938684183588988048914044077879491066712854918695199461741521853471023410173e+189
141,1.5781798651999613228278489901342578191565545725379101710559419035677643151984985e+191
142,9.6367403165008126189925870892021336562405759572824343145506696866764405444651719e+192
143,5.9261452202551012551050196430322232409101139464286515827122032704394578818828215e+194
144,3.6699603828206465432796129085078725786192676694044716508340918517010934290057734e+196
145,2.2886331921181548549054383485850395796687987790640819722829108718597901747069987e+198
146,1.4371291834670477311197659765234605126306347682672797939290430359301240658154229e+200
147,9.086561766854046967471761783385039617742876602468439256361162529062373459315283e+201
148,5.7845177129551966942703071125694402455136817904814164107379762268187232498641834e+203
149,3.7074767874220310243353877062942712077705894956679677252026582633112756624576967e+205
150,2.3922888976636008225013881364972585350369381574540084686435811024294545568377719e+207
151,1.5540076717864297424755595977455246723259678653807533392766480895244619081781409e+209
152,1.0161966339448626204079339241553469192921382303296844182911116855948478612941689e+211
153,6.6891104975861122407804376389048175985419355576419791427158934598982173691929273e+212
154,4.4320660819717685793137814063011746145136616827856823020487991723098920407303862e+214
155,2.9557845977225719369446064241661648449003376854630527518111157981956070935745948e+216
156,1.9840368440016926908954207378510983504272978475740249552997810055253316670146967e+218
157,1.3403524556527015537347965186105914780090054460830266356196560850034228598681903e+220
158,9.1130298116311730867455907963058104917779025258795171004561432435918380884936343e+221
159,6.2353875835287155657104636310228412499921349078877657722845223483349094084179181e+223
160,4.293422382133190236222413200459226330693209830715511986729360595697161630883372e+225
161,2.9748570976951593808372663883348396383069588704344321467360104339857172394301938e+227
162,2.0741204628721424635861155611730706272613271979606740185958787631786202046322565e+229
163,1.4550920695194691329150075426882490202486970162513978492652065797384836257882444e+231
164,1.0271149767349847885517165942302323227969324585767396326515082962090797875688123e+233
165,7.2946322681127382814923238890278443149593389318974565100457983118619014670158247e+234
166,5.212275465460548827494648742125675472834223696694478835303048477589107933459841e+236
