family_id,alpha_3,alpha_2,alpha_1,alpha_0,Delta_3,Delta_3_sign,abs_Delta_3,log_abs_Delta_3,absD_mod_8,absD_mod_12,absD_parity,smallest_prime_div,omega_Delta_3,Galois_group,splitting_field,CM_field,CM_disc,r1,r2,bin,conductor,class_number,class_number_plus,regulator,fund_unit_norm,unit_density,A_fit,A_stderr,alpha_fit,alpha_stderr,delta
16,1,-3,0,-3,-567,-1,567,6.340359303727752,7,3,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-7})\ \text{imag.}",\mathbb{Q}(\sqrt{-7}),-7.0,1,1,-_S3_CM,,,,,,,5.978829288502028,0.0024159378599424436,5.874085177701625,0.013675170702271585,-0.021170711497972228
17,1,-3,0,-2,-324,-1,324,5.780743515792329,4,0,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-1})\ \text{imag.}",\mathbb{Q}(\sqrt{-1}),-1.0,1,1,-_S3_CM,,,,,,,5.988410691676072,0.002481673102467401,5.926878107866031,0.014047258361308244,-0.011589308323928016
18,1,-3,0,-1,-135,-1,135,4.90527477843843,7,3,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-15})\ \text{imag.}",\mathbb{Q}(\sqrt{-15}),-15.0,1,1,-_S3_CM,,,,,,,5.983689345505889,0.0009650886916142143,5.901230793967264,0.0054627864480631715,-0.016310654494111176
19,1,-3,0,1,81,1,81,4.394449154672439,1,9,1,3,1,C_3,"\text{real cyclic cubic, totally real}",none (totally real),,3,0,+_C3_real,,,,,,,5.98596632664001,0.0008734865142466703,5.914209611643757,0.004944281633443988,-0.014033673359990395
20,1,-3,0,3,81,1,81,4.394449154672439,1,9,1,3,1,C_3,"\text{real cyclic cubic, totally real}",none (totally real),,3,0,+_C3_real,,,,,,,5.986951740728822,0.0007789676447761241,5.9201046129563935,0.004409267179625941,-0.013048259271178253
21,1,-3,1,-2,-211,-1,211,5.351858133476067,3,7,1,211,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-211})\ \text{imag.}",\mathbb{Q}(\sqrt{-211}),-211.0,1,1,-_S3_CM,,,,,,,5.989123922250842,0.0006927443857482984,5.933703057937167,0.003921209185559908,-0.010876077749157886
22,1,-3,1,-1,-76,-1,76,4.330733340286331,4,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-19})\ \text{imag.}",\mathbb{Q}(\sqrt{-19}),-19.0,1,1,-_S3_CM,,,,,,,5.990433006694728,0.0008529543601082243,5.9411265393456025,0.004828061461814537,-0.00956699330527222
23,1,-3,1,3,-76,-1,76,4.330733340286331,4,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-19})\ \text{imag.}",\mathbb{Q}(\sqrt{-19}),-19.0,1,1,-_S3_CM,,,,,,,5.98269516066347,0.004318673298951088,5.899665288710677,0.02444541126231843,-0.017304839336530264
24,1,-3,2,-3,-239,-1,239,5.476463551931511,7,11,1,239,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-239})\ \text{imag.}",\mathbb{Q}(\sqrt{-239}),-239.0,1,1,-_S3_CM,,,,,,,6.015092333950221,0.010925669423344175,6.078768677075292,0.06184364129480559,0.01509233395022136
25,1,-3,2,-2,-104,-1,104,4.6443908991413725,0,8,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-26})\ \text{imag.}",\mathbb{Q}(\sqrt{-26}),-26.0,1,1,-_S3_CM,,,,,,,5.988367772826044,0.0026249526901271376,5.932446572504644,0.014858277904436999,-0.011632227173955734
