n,T_n_data,T_n_lead_pred,r1_n
800,1.41692319211839305086624718873,1.41692319211839305086624718873,-3.3006922e-73
850,1.41611804664096397668434804978,1.41611804664096397668434804978,1.1175175e-73
900,1.41540263900196215341766972188,1.41540263900196215341766972188,5.7870417e-74
950,1.41476275875707087914475039714,1.41476275875707087914475039714,9.2971769e-74
1000,1.41418704537127189112003648351,1.41418704537127189112003648351,-6.4485309e-74
1050,1.41366630790198688597734456621,1.41366630790198688597734456621,3.1371974e-74
1100,1.41319303068160049179702242422,1.41319303068160049179702242422,-2.7193474e-74
1150,1.41276100825785284636328979704,1.41276100825785284636328979704,4.2957769e-74
1200,1.41236507180677572292078111691,1.41236507180677572292078111691,-6.384798e-74
1250,1.41200088135021606856539599673,1.41200088135021606856539599673,6.8596107e-74
1300,1.41166476602423722913329605698,1.41166476602423722913329605698,-3.8777857e-74
1350,1.4113535999155990909685105383,1.4113535999155990909685105383,-1.8584383e-74
1400,1.41106470455694629530047297627,1.41106470455694629530047297627,6.2091038e-74
1450,1.41079577163370052447393714392,1.41079577163370052447393714392,-4.9017816e-74
1500,1.41054480117797635617564934944,1.41054480117797635617564934944,-1.2599654e-74
1550,1.41031005174625916888742573635,1.41031005174625916888742573635,6.1212772e-74
1600,1.41008999995489500355903194422,1.41008999995489500355903194422,-4.7232347e-74
1650,1.40988330738509221611934372783,1.40988330738509221611934372783,-1.2053915e-74
1700,1.40968879333772429913921379607,1.40968879333772429913921379607,5.9882416e-74
1750,1.40950541226613034544973197122,1.40950541226613034544973197122,-6.7545593e-74
1800,1.40933223497590783779324446942,1.40933223497590783779324446942,5.6269493e-74
1850,1.40916843287795938749730875099,1.40916843287795938749730875099,-7.4572152e-74
1900,1.40901326473153347249379279658,1.40901326473153347249379279658,-2.54992e-73
