n,r_n_data,r_n_next_pred,r2_n
40,-2.62127241277050047745675194143e-21,-2.62127222006212881014405759967e-21,-1.9270837e-28
41,-1.01767133062692516832963647175e-21,-1.01767371772218396290921527507e-21,2.3870953e-27
42,-3.72633772210748726334983760526e-22,-3.72622465796843906538672539508e-22,-1.1306414e-26
43,-1.19772417702798953959666252143e-22,-1.19796169525698753868178853072e-22,2.3751823e-26
44,-2.57171322183260862687480807549e-23,-2.57025644104917680795740624191e-23,-1.4567808e-26
45,5.52408549757103985077492112271e-24,5.54051433388847118348466393767e-24,-1.6428836e-26
46,1.30664846981495437198642673796e-23,1.30583260053612050448486555056e-23,8.1586928e-27
47,1.25110361880548934053699455576e-23,1.2491194594655337870543647452e-23,1.9841593e-26
48,9.82018200662399441342967590603e-24,9.809846777841296240192560236e-24,1.0335229e-26
49,7.08214845215721813143338739101e-24,7.08922532857300127704739797272e-24,-7.0768764e-27
50,4.88696940502465049561518707948e-24,4.90571989073003714499008553943e-24,-1.8750486e-26
51,3.28847028519044039318251567053e-24,3.30800346323541715130890262714e-24,-1.9533178e-26
52,2.18030753727140796518093391989e-24,2.19174699968523503882274349277e-24,-1.1439462e-26
53,1.43316333829952783233057189409e-24,1.43247933638028797922317519975e-24,6.8400192e-28
54,9.37645925519143134776969167838e-25,9.25212959718875615656404524187e-25,1.2432966e-26
55,6.12193219584276738308610477258e-25,5.91004350486695593841206598204e-25,2.1188869e-26
56,3.99605118521122343667068939686e-25,3.73498680535643113255906939332e-25,2.6106438e-26
57,2.61108675878636300600286374698e-25,2.33578511902730324268988690883e-25,2.7530164e-26
58,1.70945331750189790401945437253e-25,1.44583679703608607445875506314e-25,2.6361652e-26
59,1.12208889742126013035777425689e-25,8.86070817788027556556250013117e-26,2.3601808e-26
60,7.38824613661213354968331434503e-26,5.37807953031097288376150609405e-26,2.0101666e-26
61,4.88148838051182462474572356368e-26,3.23418449060361007121990822405e-26,1.6473039e-26
62,3.23720509263888193646218154899e-26,1.92781655368041732260979809096e-26,1.3093885e-26
63,2.15512991802229523356265908929e-26,1.13952285957119602102496651917e-26,1.0156071e-26
64,1.44050859238997457513312715075e-26,6.68240126702713061309567367581e-27,7.7226847e-27
65,9.66790900173495611415927185971e-27,3.88944954279921493809420912604e-27,5.7784595e-27
66,6.51544696666727282178516960713e-27,2.24790848836518104476287569442e-27,4.2675385e-27
67,4.40920417868823314698875389193e-27,1.2905817544892474564524105535e-27,3.1186224e-27
68,2.9962711201271639836940302995e-27,7.36345554214609046835527773703e-28,2.2599256e-27
69,2.04456337394484683252953308297e-27,4.17667327808760507762444735173e-28,1.626896e-27
70,1.4008991889804787460942630514e-27,2.35605676728091538709237801698e-28,1.1652935e-27
71,9.6379368999964824581266955535e-28,1.32218263813287970787327220724e-28,8.3157543e-28
72,6.65752683746822225925036735361e-28,7.38383867044549263831654342625e-29,5.919143e-28
73,4.61712522444632424077839930167e-28,4.10471987869366783128419516605e-29,4.2066532e-28
74,3.21467114428773466180963805905e-28,2.27202101361730414156630911386e-29,2.987469e-28
75,2.2468933305604910927221565756e-28,1.25249923448477166943780557531e-29,2.1216434e-28
76,1.57646063517309659521336624597e-28,6.87828439389566594172049105608e-30,1.5076778e-28
77,1.11022651358211943925460243002e-28,3.76369554153022325489751895498e-30,1.0725896e-28
78,7.8476633927556101834114897307e-29,2.05242898848385153215525156463e-30,7.6424205e-29
79,5.56726223513182367558678591932e-29,1.11563625852924332104608040048e-30,5.4556986e-29
80,3.96358011341657097483656989001e-29,6.04580077925190895130252846597e-31,3.9031221e-29
81,2.83172047653742475311974253537e-29,3.26687479208939509684237530291e-31,2.7990517e-29
82,2.03002858963305987740604683859e-29,1.76045332643920279696287950678e-31,2.0124241e-29
83,1.46021037627448817455688380896e-29,9.46218442822130837791867857274e-32,1.4507482e-29
84,1.05381158128461616079492680565e-29,5.07330050829555857562563216909e-32,1.0487383e-29
85,7.62988281459243849403138074309e-30,2.71378666689309482550296793404e-32,7.6027449e-30
86,5.54183543095118712358290038207e-30,1.44842807029744475300749864789e-32,5.5273512e-30
87,4.03779398113571440908055788447e-30,7.7143836856050675181115544079e-33,4.0300796e-30
88,2.95096345944119192282752060824e-30,4.10046025025171533847850662453e-33,2.946863e-30
89,2.16315427206128071873808419612e-30,2.17536579260998386442365835411e-33,2.1609789e-30
90,1.59034178734749471102701663434e-30,1.15196427635428749307708359798e-33,1.5891898e-30
91,1.17259648495667672261085820171e-30,6.0896048543938943012714059596e-34,1.1719875e-30
92,8.67038084299895181801191155683e-31,3.21378468674577767407725667269e-34,8.6671671e-31
93,6.42889099468391232580787274673e-31,1.69337896189251553579333655361e-34,6.4271976e-31
94,4.77990858243205814383420081337e-31,8.90905294997045852054794794258e-35,4.7790177e-31
95,3.56341662183668448303883192436e-31,4.6803405321518633313450966846e-35,3.5629486e-31
96,2.66351677103143532313819499213e-31,2.4553805461353899329853604258e-35,2.6632712e-31
97,1.99602018290179452387897377981e-31,1.28641477103214028335077386462e-35,1.9958915e-31
98,1.49959644402045439985186696475e-31,6.7311314727394146724742291583e-36,1.4995291e-31
99,1.12944128486802761087225579318e-31,3.51773130412539324563861439072e-36,1.1294061e-31
100,8.52732808143540357639497436855e-32,1.83622651124544785276704032453e-36,8.5271445e-32
