n,r_n_data,r_n_next_pred,r2_n
40,-7.19668245715659545569325734612e-24,-7.19668266500695831123480218753e-24,2.0785036e-31
41,-3.65967606643829290840885179926e-24,-3.65967348886970047452025923122e-24,-2.5775686e-30
42,-1.89102914946314726583656578504e-24,-1.89104137823220021658576175909e-24,1.2228769e-29
43,-9.92120858537188183285717436809e-25,-9.92095093505440977302345789615e-25,-2.5765032e-29
44,-5.28117860517278817510822642368e-25,-5.28133830834443583960577028157e-25,1.5970317e-29
45,-2.85041199068680409719659628491e-25,-2.85058870828792042421687217796e-25,1.767176e-29
46,-1.55892430425651130812737349555e-25,-1.55883356857887297018737949672e-25,-9.0735678e-30
47,-8.63437546040976008421592621496e-26,-8.63222956373948522445228219558e-26,-2.1458967e-29
48,-4.84049194529371070598671849455e-26,-4.83940247917478833622184256116e-26,-1.0894661e-29
49,-2.74523667399781297274128582023e-26,-2.74603150283851843844796061508e-26,7.9482884e-30
50,-1.57432541426902019044305752815e-26,-1.57635804865396053825359976394e-26,2.0326344e-29
51,-9.12512668164887278850467309089e-27,-9.14598991953777461777467655844e-27,2.0863238e-29
52,-5.34354897907209812707613176722e-27,-5.35547189175449730823302019716e-27,1.1922913e-29
53,-3.16005509623566419939499431314e-27,-3.15888180994720057088676348494e-27,-1.1732863e-30
54,-1.88656077258829598649324249552e-27,-1.87287629911076532316519858812e-27,-1.3684473e-29
55,-1.13659215774371010862371532734e-27,-1.11373648071054349929905054754e-27,-2.2855677e-29
56,-6.90798021629107899567323650956e-28,-6.62940625907022680696464277091e-28,-2.7857396e-29
57,-4.23421381839097261381770021191e-28,-3.94295111072075297809335157344e-28,-2.9126271e-29
58,-2.61661439945255029957337494772e-28,-2.33989572069681645671658104414e-28,-2.7671868e-29
59,-1.62977875676242997258656086807e-28,-1.38392932922541626523068251725e-28,-2.4584943e-29
60,-1.02287511145949476684165302971e-28,-8.15110058326300720157225356365e-29,-2.0776505e-29
61,-6.46711428927561645107390203037e-29,-4.77811500655575651340583192857e-29,-1.6889993e-29
62,-4.11800484746580504494573926095e-29,-2.7866236841498460825737135132e-29,-1.3313812e-29
63,-2.64028694623780603128965262367e-29,-1.61657513032774261749256978218e-29,-1.0237118e-29
64,-1.70414966886212451295229607256e-29,-9.32777444504057772116388519635e-30,-7.7137222e-30
65,-1.107045703962018267583693872e-29,-5.35344997172338935350877382531e-30,-5.7170071e-30
66,-7.23665192798222021397554649429e-30,-3.05633580751975979082280598073e-30,-4.1803161e-30
67,-4.75927949214046545761539711683e-30,-1.7359543841475881789562267954e-30,-3.0233251e-30
68,-3.14845096362300776379363762276e-30,-9.81109168658263189907553737275e-31,-2.1673418e-30
69,-2.0947353967466768010369752187e-30,-5.51846783890055682362221445966e-31,-1.5428886e-30
70,-1.40141107057567038425469021298e-30,-3.08977587508355806466765751991e-31,-1.0924335e-30
71,-9.42620296594521551146010554953e-31,-1.72238351040914745724277855628e-31,-7.7038195e-31
72,-6.37347922317365629015898871363e-31,-9.56124272098449258354470994126e-32,-5.417355e-31
73,-4.33133081717344329413605725123e-31,-5.28647609288210440810776307642e-32,-3.8026832e-31
74,-2.95808194111429734166702244425e-31,-2.91185130730094790533583099477e-32,-2.6668968e-31
75,-2.02994680737702204127886697792e-31,-1.59809919210440004779606145636e-32,-1.8701369e-31
76,-1.39955066238998113931051475593e-31,-8.74071974425508759774431434106e-33,-1.3121435e-31
77,-9.6932232800730090470047704297e-32,-4.76511474389708885464172055016e-33,-9.2167118e-32
78,-6.74328723676907397531683218684e-32,-2.58971748318967630603646293802e-33,-6.4843155e-32
79,-4.71139127427107064799358701956e-32,-1.40330089594819485182864425763e-33,-4.5710612e-32
80,-3.30561960899743828422765795704e-32,-7.58283435139826427375511457209e-34,-3.2297913e-32
81,-2.32882409519400059178446901872e-32,-4.08652528747247343506017615356e-34,-2.2879588e-32
82,-1.64723754424543396856779075075e-32,-2.19672068934686464082034109794e-34,-1.6252703e-32
83,-1.16968460116544453739327446462e-32,-1.17800330232797099360610783782e-34,-1.1579046e-32
84,-8.33744750732675844318588190504e-33,-6.3025914917539891777262117189e-35,-8.2744216e-33
85,-5.96498743992932320774537625793e-33,-3.36465000745904202635262032049e-35,-5.9313409e-33
86,-4.28311486291167255305271960869e-33,-1.7924750432976357098557800577e-35,-4.2651901e-33
87,-3.08636085009255705824490351753e-33,-9.53017074634808145066992014903e-36,-3.0768307e-33
88,-2.23169467444543636035996044879e-33,-5.0573388399513578750708055848e-36,-2.2266373e-33
89,-1.61915889839348073861333966998e-33,-2.67888733705336482791267573604e-36,-1.61648e-33
90,-1.17862994280279359653793646866e-33,-1.41655352323619219989113700269e-36,-1.1772134e-33
91,-8.6072927403937174898821352101e-34,-7.4780921545967165596937411594e-37,-8.5998146e-34
92,-6.30558878923425739438864680551e-34,-3.94147899988715176713820857097e-37,-6.3016473e-34
93,-4.63366427473408204532660312321e-34,-2.07428184321514604914725761194e-37,-4.63159e-34
94,-3.41534188352348194464573425471e-34,-1.0900449405953734503707927895e-37,-3.4142518e-34
95,-2.52479597329144398989957048037e-34,-5.72025719948154290169041587732e-38,-2.5242239e-34
96,-1.87186082687777976294329485742e-34,-2.99782467235508672241241105511e-38,-1.871561e-34
97,-1.39171246291457129415000444737e-34,-1.56906196992012813130045618558e-38,-1.3915556e-34
98,-1.03759655753473831426032177031e-34,-8.20237426883996739691916439568e-39,-1.0375145e-34
99,-7.75685566666591157682792203463e-35,-4.2827817334016340380726246385e-39,-7.7564274e-35
100,-5.81429379591093544617511890144e-35,-2.23367165622851483148171981496e-39,-5.8140704e-35
