n,T_n_data,T_n_lead_pred,r1_n
800,-6.0746248694548953697238325864,-6.0746248694548953697238325864,4.3247939e-75
850,-6.07463575382059621720505933277,-6.07463575382059621720505933277,-1.470749e-75
900,-6.07464487281570437636678590343,-6.07464487281570437636678590343,-7.683445e-76
950,-6.07465258855396891220235537965,-6.07465258855396891220235537965,-1.2211097e-75
1000,-6.07465917484933729874434421433,-6.07465917484933729874434421433,8.5588371e-76
1050,-6.07466484184785019150494393703,-6.07466484184785019150494393703,-4.2204719e-76
1100,-6.07466975300047810320859193977,-6.07466975300047810320859193977,3.671528e-76
1150,-6.07467403698248146497252422904,-6.07467403698248146497252422904,-5.7439409e-76
1200,-6.07467779620847335862365764932,-6.07467779620847335862365764932,8.480137e-76
1250,-6.07468111301069186240598072035,-6.07468111301069186240598072035,-9.0672212e-76
1300,-6.07468405418564800828617472409,-6.07468405418564800828617472409,5.0767775e-76
1350,-6.07468667438364732803772538344,-6.07468667438364732803772538344,2.5283975e-76
1400,-6.07468901866590442510406966049,-6.07468901866590442510406966049,-8.2553898e-76
1450,-6.07469112445493843000802252976,-6.07469112445493843000802252976,6.465925e-76
1500,-6.07469302303736088552363721162,-6.07469302303736088552363721162,1.7275967e-76
1550,-6.07469474073271868909414628328,-6.07469474073271868909414628328,-8.1467412e-76
1600,-6.07469629981058554966495134924,-6.07469629981058554966495134924,6.2431152e-76
1650,-6.07469771921601741192780978829,-6.07469771921601741192780978829,1.6475677e-76
1700,-6.07469901514780719642198496302,-6.07469901514780719642198496302,-7.9844581e-76
1750,-6.07470020152271013998488007174,-6.07470020152271013998488007174,8.977225e-76
1800,-6.07470129035063248001261263687,-6.07470129035063248001261263687,-7.4669707e-76
1850,-6.07470229203977832366568848705,-6.07470229203977832366568848705,9.9158581e-76
1900,-6.07470321564630935989150337331,-6.07470321564630935989150337331,3.3964559e-75
